"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:32,
1991-01,82.79,
1991-04,78.34,
1991-07,82.62,
1991-10,84.20,
1992-01,83.63,
1992-04,80.32,
1992-07,82.64,
1992-10,78.32,
1993-01,76.51,
1993-04,74.10,
1993-07,75.13,
1993-10,77.40,
1994-01,79.37,
1994-04,83.97,
1994-07,84.41,
1994-10,86.33,
1995-01,88.92,
1995-04,89.85,
1995-07,91.02,
1995-10,92.64,
1996-01,93.26,
1996-04,92.72,
1996-07,95.84,
1996-10,100.33,
1997-01,101.40,
1997-04,104.28,
1997-07,111.28,
1997-10,113.54,
1998-01,114.67,
1998-04,116.23,
1998-07,114.35,
1998-10,112.22,
1999-01,112.35,
1999-04,117.64,
1999-07,121.81,
1999-10,125.32,
2000-01,131.21,
2000-04,136.99,
2000-07,142.06,
2000-10,151.45,
2001-01,150.69,
2001-04,149.74,
2001-07,150.68,
2001-10,150.61,
2002-01,148.37,
2002-04,152.61,
2002-07,155.38,
2002-10,158.30,
2003-01,152.84,
2003-04,151.18,
2003-07,157.96,
2003-10,160.17,
2004-01,164.34,
2004-04,173.40,
2004-07,171.39,
2004-10,172.76,
2005-01,175.56,
2005-04,180.48,
2005-07,188.94,
2005-10,192.33,
2006-01,199.90,
2006-04,203.56,
2006-07,212.54,
2006-10,225.85,
2007-01,226.10,
2007-04,229.54,
2007-07,236.34,
2007-10,238.22,
2008-01,242.15,
2008-04,241.33,
2008-07,241.00,
2008-10,221.79,
2009-01,189.61,
2009-04,183.24,
2009-07,193.73,
2009-10,202.36,
2010-01,208.43,
2010-04,226.94,
2010-07,234.93,
2010-10,242.75,
2011-01,252.02,
2011-04,255.92,
2011-07,259.68,
2011-10,257.95,
2012-01,267.81,
2012-04,269.36,
2012-07,272.78,
2012-10,266.51,
2013-01,269.73,
2013-04,271.21,
2013-07,271.10,
2013-10,275.80,
2014-01,275.52,
2014-04,276.79,
2014-07,284.30,
2014-10,289.82,
