"",BBK01.OEAH18T,BBK01.OEAH18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:45,
2002-01,2.772,
2002-04,2.662,
2002-07,2.539,
2002-10,2.463,
2003-01,2.420,
2003-04,2.197,
2003-07,2.152,
2003-10,2.167,
2004-01,2.125,
2004-04,1.913,
2004-07,1.937,
2004-10,2.103,
2005-01,1.948,
2005-04,1.917,
2005-07,2.014,
2005-10,2.003,
2006-01,2.007,
2006-04,2.047,
2006-07,2.233,
2006-10,2.524,
2007-01,2.528,
2007-04,2.595,
2007-07,2.761,
2007-10,2.850,
2008-01,3.067,
2008-04,3.307,
2008-07,3.405,
2008-10,3.373,
2009-01,2.619,
2009-04,2.036,
2009-07,1.773,
2009-10,1.496,
2010-01,1.475,
2010-04,1.375,
2010-07,1.307,
2010-10,1.337,
2011-01,1.349,
2011-04,1.374,
2011-07,1.564,
2011-10,1.836,
2012-01,2.120,
2012-04,1.876,
2012-07,2.185,
2012-10,2.069,
2013-01,2.146,
2013-04,1.742,
2013-07,1.648,
2013-10,1.554,
2014-01,1.697,
2014-04,1.791,
2014-07,1.599,
