"",BBDA1.M.DE.Y.IM.S.A.W1.A.C.A10.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A10.A_FLAGS
"",German foreign trade: imports / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:39,
2008-01,66.70,
2008-02,65.22,
2008-03,65.42,
2008-04,64.59,
2008-05,64.51,
2008-06,62.32,
2008-07,66.20,
2008-08,64.44,
2008-09,65.23,
2008-10,63.39,
2008-11,60.91,
2008-12,58.81,
2009-01,57.81,
2009-02,55.60,
2009-03,55.52,
2009-04,55.31,
2009-05,52.07,
2009-06,54.13,
2009-07,54.93,
2009-08,56.26,
2009-09,60.11,
2009-10,58.02,
2009-11,56.92,
2009-12,58.16,
2010-01,62.34,
2010-02,59.98,
2010-03,67.76,
2010-04,62.89,
2010-05,67.01,
2010-06,68.84,
2010-07,66.29,
2010-08,67.45,
2010-09,67.12,
2010-10,67.06,
2010-11,70.29,
2010-12,68.20,
2011-01,68.80,
2011-02,69.91,
2011-03,71.43,
2011-04,70.10,
2011-05,71.48,
2011-06,71.07,
2011-07,71.58,
2011-08,70.84,
2011-09,71.22,
2011-10,69.19,
2011-11,70.78,
2011-12,68.74,
2012-01,66.63,
2012-02,68.94,
2012-03,68.80,
2012-04,66.57,
2012-05,69.81,
2012-06,68.46,
2012-07,67.77,
2012-08,67.50,
2012-09,67.12,
2012-10,69.06,
2012-11,65.31,
2012-12,66.82,
2013-01,67.80,
2013-02,66.78,
2013-03,66.10,
2013-04,66.19,
2013-05,68.97,
2013-06,67.95,
2013-07,68.77,
2013-08,68.69,
2013-09,67.65,
2013-10,68.79,
2013-11,69.62,
2013-12,68.96,
2014-01,69.99,
2014-02,70.61,
2014-03,68.45,
2014-04,69.60,
2014-05,68.13,
2014-06,70.69,
2014-07,71.01,
2014-08,69.56,
2014-09,71.41,
2014-10,70.14,
2014-11,70.79,
2014-12,72.97,
