"",BBK01.TVE322,BBK01.TVE322_FLAGS
"",Monetray capital formation at monetary financial institutions (MFIS) in the euro area / Capital and reserves / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:42,
1997-10,-1792,
1997-11,3863,
1997-12,16838,
1998-01,5705,
1998-02,-240,
1998-03,11935,
1998-04,-10298,
1998-05,10647,
1998-06,18210,
1998-07,-1988,
1998-08,1152,
1998-09,8166,
1998-10,-923,
1998-11,-2044,
1998-12,-6586,
1999-01,12022,
1999-02,-1583,
1999-03,13498,
1999-04,11387,
1999-05,5102,
1999-06,13733,
1999-07,3396,
1999-08,1513,
1999-09,-138,
1999-10,6340,
1999-11,2743,
1999-12,13517,
2000-01,18786,
2000-02,4750,
2000-03,12850,
2000-04,9453,
2000-05,2714,
2000-06,19336,
2000-07,15507,
2000-08,5171,
2000-09,19584,
2000-10,5104,
2000-11,-11953,
2000-12,-21571,
2001-01,-2644,
2001-02,3072,
2001-03,17302,
2001-04,1776,
2001-05,8690,
2001-06,19619,
2001-07,-6277,
2001-08,7206,
2001-09,9495,
2001-10,8219,
2001-11,3103,
2001-12,14310,
2002-01,14313,
2002-02,-718,
2002-03,3266,
2002-04,-5227,
2002-05,3773,
2002-06,-16858,
2002-07,9408,
2002-08,9208,
2002-09,9713,
2002-10,698,
2002-11,2640,
2002-12,9528,
2003-01,8989,
2003-02,154,
2003-03,-2479,
2003-04,166,
2003-05,-8425,
2003-06,6887,
2003-07,8253,
2003-08,4376,
2003-09,7107,
2003-10,1774,
2003-11,3258,
2003-12,-843,
2004-01,779,
2004-02,-2401,
2004-03,7705,
2004-04,6026,
2004-05,3491,
2004-06,4208,
2004-07,7551,
2004-08,1856,
2004-09,10087,
2004-10,1394,
2004-11,4656,
2004-12,3776,
2005-01,2931,
2005-02,3125,
2005-03,10431,
2005-04,-2062,
2005-05,8966,
2005-06,20999,
2005-07,3483,
2005-08,4006,
2005-09,12400,
2005-10,296,
2005-11,4292,
2005-12,19455,
2006-01,-2082,
2006-02,20866,
2006-03,7382,
2006-04,-11112,
2006-05,-5643,
2006-06,16523,
2006-07,19402,
2006-08,-4059,
2006-09,9884,
2006-10,5600,
2006-11,-10873,
2006-12,6241,
2007-01,-933,
2007-02,6669,
2007-03,28357,
2007-04,-5814,
2007-05,-21580,
2007-06,33924,
2007-07,24261,
2007-08,-954,
2007-09,3503,
2007-10,32672,
2007-11,5732,
2007-12,25975,
2008-01,4801,
2008-02,1795,
2008-03,12092,
2008-04,6762,
2008-05,-9346,
2008-06,10776,
2008-07,15400,
2008-08,16634,
2008-09,32879,
2008-10,34871,
2008-11,18896,
2008-12,999,
2009-01,10167,
2009-02,7228,
2009-03,-11607,
2009-04,5505,
2009-05,6784,
2009-06,43405,
2009-07,945,
2009-08,12757,
2009-09,11152,
2009-10,1253,
2009-11,14271,
2009-12,30587,
2010-01,-6536,
2010-02,-1,
2010-03,5303,
2010-04,1513,
2010-05,18044,
2010-06,34215,
2010-07,-1952,
2010-08,7243,
2010-09,-2222,
2010-10,6264,
2010-11,26117,
2010-12,13772,
2011-01,-5823,
2011-02,14563,
2011-03,1861,
2011-04,-681,
2011-05,13412,
2011-06,18062,
2011-07,37318,
2011-08,9902,
2011-09,2459,
2011-10,5076,
2011-11,19489,
2011-12,25830,
2012-01,9593,
2012-02,1199,
2012-03,10741,
2012-04,5463,
2012-05,14808,
2012-06,37177,
2012-07,14648,
2012-08,2702,
2012-09,12435,
2012-10,1038,
2012-11,4174,
2012-12,42095,
2013-01,5770,
2013-02,6886,
2013-03,11213,
2013-04,294,
2013-05,11500,
2013-06,37896,
2013-07,-3817,
2013-08,11971,
2013-09,-962,
2013-10,-8416,
2013-11,-1361,
2013-12,7749,
2014-01,13938,
2014-02,5237,
2014-03,19360,
2014-04,7410,
2014-05,-9030,
2014-06,18791,
2014-07,15244,
2014-08,9797,
2014-09,22052,
2014-10,3635,
2014-11,-898,
2014-12,-3039,
2015-01,3916,
