"",BBK01.OELJ09M,BBK01.OELJ09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:12,
2002-01,0.039,
2002-04,0.040,
2002-07,0.037,
2002-10,0.113,
2003-01,0.112,
2003-04,0.109,
2003-07,0.076,
2003-10,0.033,
2004-01,0.034,
2004-04,0.039,
2004-07,0.040,
2004-10,0.041,
2005-01,0.043,
2005-04,0.042,
2005-07,0.037,
2005-10,0.030,
2006-01,0.031,
2006-04,0.033,
2006-07,0.031,
2006-10,0.030,
2007-01,0.031,
2007-04,0.032,
2007-07,0.036,
2007-10,0.037,
2008-01,0.041,
2008-04,0.034,
2008-07,0.028,
2008-10,0.027,
2009-01,0.028,
2009-04,0.033,
2009-07,0.040,
2009-10,0.050,
2010-01,0.051,
2010-04,0.044,
2010-07,0.043,
2010-10,0.039,
2011-01,0.035,
2011-04,0.034,
2011-07,0.034,
2011-10,0.029,
2012-01,0.026,
2012-04,0.023,
2012-07,0.025,
2012-10,0.025,
2013-01,0.033,
2013-04,0.038,
2013-07,0.048,
2013-10,0.048,
2014-01,0.051,
2014-04,0.061,
2014-07,0.060,
