"",BBFN1.M.DE.N.1.L.IE.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:44,
1982-09,0.019,
1982-10,0.019,
1982-11,0.019,
1982-12,0.017,
1983-01,0.017,
1983-02,0.017,
1983-03,0.017,
1983-04,0.017,
1983-05,0.017,
1983-06,0.016,
1983-07,0.016,
1983-08,0.016,
1983-09,0.016,
1983-10,0.016,
1983-11,0.016,
1983-12,0.016,
1984-01,0.016,
1984-02,0.016,
1984-03,0.016,
1984-04,0.016,
1984-05,0.016,
1984-06,0.016,
1984-07,0.016,
1984-08,0.016,
1984-09,0.016,
1984-10,0.016,
1984-11,0.016,
1984-12,0.015,
1985-01,0.015,
1985-02,0.015,
1985-03,0.015,
1985-04,0.015,
1985-05,0.015,
1985-06,0.015,
1985-07,0.015,
1985-08,0.015,
1985-09,0.015,
1985-10,0.015,
1985-11,0.015,
1985-12,0.015,
1986-01,0.015,
1986-02,0.015,
1986-03,.,No value available
1986-04,.,No value available
1986-05,.,No value available
1986-06,.,No value available
1986-07,.,No value available
1986-08,.,No value available
1986-09,.,No value available
1986-10,.,No value available
1986-11,.,No value available
1986-12,.,No value available
1987-01,.,No value available
1987-02,.,No value available
1987-03,.,No value available
1987-04,.,No value available
1987-05,.,No value available
1987-06,.,No value available
1987-07,.,No value available
1987-08,.,No value available
1987-09,.,No value available
1987-10,.,No value available
1987-11,.,No value available
1987-12,.,No value available
1988-01,.,No value available
1988-02,.,No value available
1988-03,.,No value available
1988-04,.,No value available
1988-05,.,No value available
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,.,No value available
1988-10,.,No value available
1988-11,.,No value available
1988-12,.,No value available
1989-01,.,No value available
1989-02,.,No value available
1989-03,0.005,
1989-04,0.036,
1989-05,0.036,
1989-06,0.036,
1989-07,0.038,
1989-08,0.038,
1989-09,0.038,
1989-10,0.038,
1989-11,0.038,
1989-12,0.038,
1990-01,0.038,
1990-02,0.038,
1990-03,0.043,
1990-04,0.043,
1990-05,0.043,
1990-06,0.043,
1990-07,0.042,
1990-08,0.047,
1990-09,0.047,
1990-10,0.051,
1990-11,0.056,
1990-12,0.068,
1991-01,0.068,
1991-02,0.073,
1991-03,0.069,
1991-04,0.088,
1991-05,0.088,
1991-06,0.088,
1991-07,0.087,
1991-08,0.098,
1991-09,0.103,
1991-10,0.103,
1991-11,0.110,
1991-12,0.135,
1992-01,0.148,
1992-02,0.162,
1992-03,0.177,
1992-04,0.178,
1992-05,0.179,
1992-06,0.185,
1992-07,0.186,
1992-08,0.285,
1992-09,0.286,
1992-10,0.286,
1992-11,0.304,
1992-12,0.305,
1993-01,0.299,
1993-02,0.297,
1993-03,0.316,
1993-04,0.315,
1993-05,0.315,
1993-06,0.315,
1993-07,0.304,
1993-08,0.311,
1993-09,0.306,
1993-10,0.306,
1993-11,0.306,
1993-12,0.303,
1994-01,0.313,
1994-02,0.315,
1994-03,0.313,
1994-04,0.451,
1994-05,0.471,
1994-06,0.414,
1994-07,0.414,
1994-08,0.409,
1994-09,0.429,
1994-10,0.430,
1994-11,0.432,
1994-12,0.449,
1995-01,0.428,
1995-02,0.436,
1995-03,0.435,
1995-04,0.488,
1995-05,0.468,
1995-06,0.487,
1995-07,0.495,
1995-08,0.499,
1995-09,0.514,
1995-10,0.537,
1995-11,0.530,
1995-12,0.522,
1996-01,0.549,
1996-02,0.594,
1996-03,0.592,
1996-04,0.607,
1996-05,0.620,
1996-06,0.636,
1996-07,0.661,
1996-08,0.656,
1996-09,0.701,
1996-10,0.719,
1996-11,0.719,
1996-12,0.745,
1997-01,0.739,
1997-02,0.718,
1997-03,0.728,
1997-04,0.730,
1997-05,0.732,
1997-06,0.732,
1997-07,0.752,
1997-08,0.763,
1997-09,0.760,
1997-10,0.757,
1997-11,0.763,
1997-12,0.699,
1998-01,0.692,
1998-02,0.765,
1998-03,0.760,
1998-04,0.864,
1998-05,0.915,
1998-06,1.035,
1998-07,1.039,
1998-08,1.190,
1998-09,1.035,
1998-10,1.067,
1998-11,0.967,
1998-12,1.048,
1999-01,1.120,
1999-02,1.067,
1999-03,1.039,
1999-04,1.057,
1999-05,0.939,
1999-06,0.939,
1999-07,0.924,
1999-08,0.983,
1999-09,0.958,
1999-10,0.981,
1999-11,0.995,
1999-12,1.051,
2000-01,1.296,
2000-02,1.293,
2000-03,1.269,
2000-04,1.233,
2000-05,1.257,
2000-06,1.307,
2000-07,1.385,
2000-08,1.386,
2000-09,1.387,
2000-10,1.370,
2000-11,1.359,
2000-12,1.339,
2001-01,1.328,
2001-02,1.372,
2001-03,1.369,
2001-04,1.387,
2001-05,1.381,
2001-06,1.348,
2001-07,1.318,
2001-08,1.299,
2001-09,1.285,
2001-10,1.293,
2001-11,1.283,
2001-12,1.247,
2002-01,1.354,
2002-02,1.360,
2002-03,1.333,
2002-04,1.334,
2002-05,1.364,
2002-06,1.372,
2002-07,1.396,
2002-08,1.390,
2002-09,1.407,
2002-10,1.406,
2002-11,1.398,
2002-12,1.117,
2003-01,1.134,
2003-02,1.309,
2003-03,1.486,
2003-04,1.454,
2003-05,1.467,
2003-06,1.466,
2003-07,1.418,
2003-08,1.372,
2003-09,1.373,
2003-10,1.376,
2003-11,1.353,
2003-12,1.199,
2004-01,1.195,
2004-02,1.172,
2004-03,1.101,
2004-04,1.089,
2004-05,1.083,
2004-06,1.062,
2004-07,1.032,
2004-08,1.118,
2004-09,1.955,
2004-10,1.768,
2004-11,1.767,
2004-12,2.218,
2005-01,2.108,
2005-02,2.054,
2005-03,2.068,
2005-04,2.115,
2005-05,2.124,
2005-06,2.120,
2005-07,2.130,
2005-08,2.119,
2005-09,2.156,
2005-10,2.214,
2005-11,2.284,
2005-12,2.333,
2006-01,2.257,
2006-02,2.305,
2006-03,2.361,
2006-04,3.009,
2006-05,3.001,
2006-06,2.588,
2006-07,2.809,
2006-08,2.747,
2006-09,2.753,
2006-10,2.748,
2006-11,2.796,
2006-12,2.809,
2007-01,2.695,
2007-02,3.285,
2007-03,2.713,
2007-04,2.712,
2007-05,2.949,
2007-06,2.888,
2007-07,3.253,
2007-08,3.827,
2007-09,3.925,
2007-10,4.930,
2007-11,4.956,
2007-12,5.028,
2008-01,5.171,
2008-02,5.184,
2008-03,5.077,
2008-04,5.099,
2008-05,5.253,
2008-06,5.310,
2008-07,5.050,
2008-08,5.080,
2008-09,5.014,
2008-10,4.926,
2008-11,4.922,
2008-12,4.861,
2009-01,4.553,
2009-02,4.588,
2009-03,4.512,
2009-04,4.566,
2009-05,4.571,
2009-06,4.777,
2009-07,4.752,
2009-08,4.725,
2009-09,4.830,
2009-10,4.783,
2009-11,4.766,
2009-12,3.502,
2010-01,3.484,
2010-02,3.506,
2010-03,2.308,
2010-04,2.327,
2010-05,2.313,
2010-06,2.272,
2010-07,2.257,
2010-08,2.296,
2010-09,2.295,
2010-10,2.348,
2010-11,2.553,
2010-12,2.447,
2011-01,2.402,
2011-02,2.379,
2011-03,2.383,
2011-04,2.385,
2011-05,2.421,
2011-06,2.457,
2011-07,2.493,
2011-08,2.404,
2011-09,2.404,
2011-10,2.428,
2011-11,2.505,
2011-12,2.521,
2012-01,2.846,
2012-02,2.564,
2012-03,2.541,
2012-04,2.618,
2012-05,2.614,
2012-06,2.626,
2012-07,2.789,
2012-08,2.836,
2012-09,2.944,
2012-10,2.969,
2012-11,2.993,
2012-12,2.978,
2013-01,2.886,
2013-02,2.916,
2013-03,3.024,
2013-04,3.025,
2013-05,3.237,
2013-06,3.189,
2013-07,3.008,
2013-08,2.486,
2013-09,2.617,
2013-10,3.116,
2013-11,2.989,
2013-12,2.950,
2014-01,2.964,
2014-02,2.968,
2014-03,2.798,
2014-04,4.232,
2014-05,2.255,
2014-06,2.336,
2014-07,2.335,
2014-08,2.334,
2014-09,1.828,
2014-10,1.887,
2014-11,1.933,
2014-12,1.925,
