"",BBK01.OEYB11M,BBK01.OEYB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:19,
2002-01,3.224,
2002-04,3.258,
2002-07,3.184,
2002-10,3.296,
2003-01,3.537,
2003-04,3.945,
2003-07,3.983,
2003-10,3.918,
2004-01,3.896,
2004-04,3.752,
2004-07,3.604,
2004-10,3.627,
2005-01,3.564,
2005-04,3.715,
2005-07,3.813,
2005-10,3.641,
2006-01,3.458,
2006-04,3.360,
2006-07,3.256,
2006-10,3.587,
2007-01,3.712,
2007-04,3.601,
2007-07,4.604,
2007-10,4.864,
2008-01,4.715,
2008-04,4.707,
2008-07,4.769,
2008-10,4.293,
2009-01,4.149,
2009-04,4.190,
2009-07,4.350,
2009-10,4.576,
2010-01,4.720,
2010-04,5.099,
2010-07,5.345,
2010-10,5.256,
2011-01,5.125,
2011-04,4.947,
2011-07,5.054,
2011-10,5.170,
2012-01,4.784,
2012-04,5.004,
2012-07,4.976,
2012-10,5.019,
2013-01,4.892,
2013-04,4.959,
2013-07,4.745,
2013-10,4.729,
2014-01,4.656,
2014-04,4.653,
2014-07,4.511,
