"",BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:41,
1991-01,12.796,
1991-04,76.144,
1991-07,16.046,
1991-10,-62.709,
1992-01,-55.823,
1992-04,124.171,
1992-07,-18.332,
1992-10,11.516,
1993-01,3.646,
1993-04,21.007,
1993-07,84.882,
1993-10,30.235,
1994-01,110.790,
1994-04,103.099,
1994-07,231.279,
1994-10,112.047,
1995-01,225.707,
1995-04,14.686,
1995-07,157.920,
1995-10,367.498,
1996-01,212.586,
1996-04,554.590,
1996-07,338.224,
1996-10,328.530,
1997-01,824.457,
1997-04,521.346,
1997-07,-253.271,
1997-10,179.427,
1998-01,228.697,
1998-04,-14.628,
1998-07,133.299,
1998-10,-60.482,
1999-01,147.638,
1999-04,320.721,
1999-07,-181.459,
1999-10,-186.348,
2000-01,1686.851,
2000-04,-122.694,
2000-07,88.295,
2000-10,275.228,
2001-01,-371.197,
2001-04,-114.501,
2001-07,-14.890,
2001-10,335.689,
2002-01,141.537,
2002-04,73.260,
2002-07,329.050,
2002-10,-220.508,
2003-01,-55.052,
2003-04,100.795,
2003-07,145.992,
2003-10,86.754,
2004-01,623.065,
2004-04,161.136,
2004-07,345.545,
2004-10,-788.051,
2005-01,786.833,
2005-04,-375.604,
2005-07,746.467,
2005-10,-748.285,
2006-01,2183.395,
2006-04,-57.800,
2006-07,317.301,
2006-10,331.604,
2007-01,534.315,
2007-04,-123.302,
2007-07,-57.199,
2007-10,-243.126,
2008-01,74.150,
2008-04,691.604,
2008-07,-216.093,
2008-10,-1174.983,
2009-01,57.772,
2009-04,329.259,
2009-07,131.775,
2009-10,76.372,
2010-01,-28.935,
2010-04,211.470,
2010-07,356.862,
2010-10,2491.085,
2011-01,60.483,
2011-04,348.876,
2011-07,-227.563,
2011-10,7.459,
2012-01,284.483,
2012-04,866.514,
2012-07,1291.177,
2012-10,244.610,
2013-01,503.217,
2013-04,1569.154,
2013-07,1398.645,
2013-10,850.093,
2014-01,973.188,Provisional value
2014-04,-20.574,Provisional value
2014-07,861.523,Provisional value
2014-10,217.262,Provisional value
