"",BBK01.OEXL02L,BBK01.OEXL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:54,
2002-01,13.132,
2002-04,15.938,
2002-07,17.523,
2002-10,18.853,
2003-01,24.149,
2003-04,27.448,
2003-07,28.131,
2003-10,28.037,
2004-01,33.386,
2004-04,40.633,
2004-07,42.186,
2004-10,45.099,
2005-01,45.533,
2005-04,48.528,
2005-07,48.512,
2005-10,50.141,
2006-01,49.810,
2006-04,50.926,
2006-07,46.827,
2006-10,46.474,
2007-01,44.887,
2007-04,44.554,
2007-07,42.989,
2007-10,42.533,
2008-01,41.502,
2008-04,39.751,
2008-07,39.349,
2008-10,34.464,
2009-01,39.567,
2009-04,37.163,
2009-07,45.480,
2009-10,51.312,
2010-01,52.020,
2010-04,54.882,
2010-07,54.706,
2010-10,56.275,
2011-01,61.466,
2011-04,61.472,
2011-07,60.906,
2011-10,61.629,
2012-01,63.286,
2012-04,64.824,
2012-07,70.258,
2012-10,76.477,
2013-01,83.178,
2013-04,86.095,
2013-07,90.964,
2013-10,95.630,
2014-01,98.520,
2014-04,100.005,
2014-07,100.482,
