"",BBK01.OEAD10U,BBK01.OEAD10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:34,
2002-01,0.276,
2002-04,0.280,
2002-07,0.275,
2002-10,0.275,
2003-01,0.255,
2003-04,0.250,
2003-07,0.252,
2003-10,0.250,
2004-01,0.239,
2004-04,0.237,
2004-07,0.226,
2004-10,0.225,
2005-01,0.211,
2005-04,0.216,
2005-07,0.219,
2005-10,0.224,
2006-01,0.206,
2006-04,0.208,
2006-07,0.213,
2006-10,0.218,
2007-01,0.203,
2007-04,0.207,
2007-07,0.213,
2007-10,0.210,
2008-01,0.206,
2008-04,0.200,
2008-07,0.215,
2008-10,0.214,
2009-01,0.209,
2009-04,0.214,
2009-07,0.220,
2009-10,0.212,
2010-01,0.216,
2010-04,0.208,
2010-07,0.212,
2010-10,0.208,
2011-01,0.213,
2011-04,0.215,
2011-07,0.223,
2011-10,0.207,
2012-01,0.204,
2012-04,0.190,
2012-07,0.187,
2012-10,0.183,
2013-01,0.189,
2013-04,0.178,
2013-07,0.191,
2013-10,0.185,
2014-01,0.189,
2014-04,0.178,
2014-07,0.183,
