"",BBK01.OEXB20P,BBK01.OEXB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:29,
2002-01,0.705,
2002-04,0.732,
2002-07,0.764,
2002-10,0.802,
2003-01,0.828,
2003-04,0.861,
2003-07,0.872,
2003-10,0.767,
2004-01,0.785,
2004-04,0.793,
2004-07,0.803,
2004-10,0.796,
2005-01,0.807,
2005-04,0.821,
2005-07,0.849,
2005-10,0.871,
2006-01,0.894,
2006-04,0.906,
2006-07,0.917,
2006-10,0.943,
2007-01,0.967,
2007-04,0.944,
2007-07,0.996,
2007-10,1.097,
2008-01,1.121,
2008-04,1.878,
2008-07,1.891,
2008-10,1.882,
2009-01,1.866,
2009-04,1.853,
2009-07,1.845,
2009-10,1.845,
2010-01,1.845,
2010-04,1.835,
2010-07,1.848,
2010-10,1.852,
2011-01,1.852,
2011-04,1.876,
2011-07,1.905,
2011-10,1.921,
2012-01,1.936,
2012-04,1.952,
2012-07,1.971,
2012-10,1.969,
2013-01,1.946,
2013-04,1.936,
2013-07,1.926,
2013-10,1.904,
2014-01,1.876,
2014-04,1.869,
2014-07,1.855,
