"",BBK01.OEAC48U,BBK01.OEAC48U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:47,
2002-01,0.310,
2002-04,0.300,
2002-07,0.292,
2002-10,0.295,
2003-01,0.212,
2003-04,0.199,
2003-07,0.164,
2003-10,0.180,
2004-01,0.173,
2004-04,0.171,
2004-07,0.164,
2004-10,0.165,
2005-01,0.165,
2005-04,0.151,
2005-07,0.140,
2005-10,0.135,
2006-01,0.140,
2006-04,0.169,
2006-07,0.174,
2006-10,0.181,
2007-01,0.190,
2007-04,0.194,
2007-07,0.198,
2007-10,0.223,
2008-01,0.252,
2008-04,0.287,
2008-07,0.292,
2008-10,0.348,
2009-01,0.376,
2009-04,0.426,
2009-07,0.427,
2009-10,0.426,
2010-01,0.529,
2010-04,0.545,
2010-07,0.611,
2010-10,0.681,
2011-01,0.698,
2011-04,0.718,
2011-07,0.767,
2011-10,0.801,
2012-01,0.860,
2012-04,0.887,
2012-07,0.876,
2012-10,0.929,
2013-01,0.953,
2013-04,0.966,
2013-07,1.007,
2013-10,1.106,
2014-01,1.151,
2014-04,1.323,
2014-07,1.300,
