"",BBK01.PQN356,BBK01.PQN356_FLAGS
"",Lending to domestic enterprises / Medium-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:38,
1968-10,1.206,
1969-01,1.134,
1969-04,1.169,
1969-07,1.184,
1969-10,1.276,
1970-01,1.301,
1970-04,1.390,
1970-07,1.461,
1970-10,1.711,
1971-01,1.765,
1971-04,1.780,
1971-07,1.860,
1971-10,1.927,
1972-01,2.110,
1972-04,2.140,
1972-07,2.235,
1972-10,2.238,
1973-01,2.174,
1973-04,2.208,
1973-07,2.285,
1973-10,2.307,
1974-01,2.304,
1974-04,2.258,
1974-07,2.259,
1974-10,2.124,
1975-01,1.988,
1975-04,1.867,
1975-07,1.700,
1975-10,1.754,
1976-01,1.704,
1976-04,1.647,
1976-07,1.537,
1976-10,1.606,
1977-01,1.473,
1977-04,1.361,
1977-07,1.326,
1977-10,1.331,
1978-01,1.286,
1978-04,1.210,
1978-07,1.133,
1978-10,1.225,
1979-01,1.270,
1979-04,1.342,
1979-07,1.491,
1979-10,1.603,
1980-01,1.647,
1980-04,1.773,
1980-07,1.793,
1980-10,1.748,
1981-01,1.869,
1981-04,1.981,
1981-07,1.998,
1981-10,1.932,
1982-01,1.888,
1982-04,1.826,
1982-07,1.800,
1982-10,1.709,
1983-01,1.678,
1983-04,1.642,
1983-07,1.591,
1983-10,1.693,
1984-01,1.595,
1984-04,1.518,
1984-07,1.593,
1984-10,1.576,
1985-01,1.363,
1985-04,1.457,
1985-07,1.602,
1985-10,1.658,
1986-01,1.521,
1986-04,1.587,
1986-07,1.569,
1986-10,1.484,
1987-01,1.363,
1987-04,1.374,
1987-07,1.295,
1987-10,1.250,
1988-01,1.175,
1988-04,1.114,
1988-07,0.965,
1988-10,0.890,
1989-01,0.847,
1989-04,0.851,
1989-07,0.853,
1989-10,0.856,
1990-01,0.861,
1990-04,0.931,
1990-07,1.043,
1990-10,1.301,
1991-01,1.372,
1991-04,1.467,
1991-07,1.713,
1991-10,10.236,
1992-01,10.950,
1992-04,11.081,
1992-07,17.045,
1992-10,20.936,
1993-01,20.353,
1993-04,18.526,
1993-07,14.803,
1993-10,12.831,
1994-01,10.557,
1994-04,7.228,
1994-07,4.409,
1994-10,2.487,
1995-01,2.212,
1995-04,1.873,
1995-07,1.598,
1995-10,1.479,
1996-01,1.672,
1996-04,1.665,
1996-07,1.598,
1996-10,1.593,
1997-01,1.625,
1997-04,1.816,
1997-07,1.872,
1997-10,1.951,
1998-01,1.613,
1998-04,1.566,
1998-07,1.548,
1998-10,1.721,
1999-01,2.166,
1999-04,2.108,
1999-07,2.395,
1999-10,2.784,
2000-01,2.983,
2000-04,2.732,
2000-07,2.726,
2000-10,2.700,
2001-01,2.735,
2001-04,2.852,
2001-07,3.436,
2001-10,3.527,
2002-01,3.677,
2002-04,3.658,
2002-07,3.937,
2002-10,3.866,
2003-01,4.180,
2003-04,4.233,
2003-07,4.214,
2003-10,4.346,
2004-01,4.488,
2004-04,5.354,
2004-07,5.538,
2004-10,5.419,
2005-01,5.470,
2005-04,5.554,
2005-07,5.639,
2005-10,5.538,
2006-01,5.433,
2006-04,5.705,
2006-07,6.021,
2006-10,5.526,
2007-01,5.660,
2007-04,5.572,
2007-07,5.743,
2007-10,5.485,
2008-01,5.312,
2008-04,5.369,
2008-07,5.767,
2008-10,6.084,
2009-01,5.931,
2009-04,6.557,
2009-07,6.420,
2009-10,6.539,
2010-01,6.739,
2010-04,6.856,
2010-07,6.448,
2010-10,7.046,
2011-01,7.536,
2011-04,6.994,
2011-07,6.880,
2011-10,7.418,
2012-01,8.149,
2012-04,8.214,
2012-07,8.198,
2012-10,8.722,
2013-01,8.747,
2013-04,7.653,
2013-07,7.407,
2013-10,7.545,
2014-01,7.396,
2014-04,7.278,
2014-07,7.211,
2014-10,7.025,
