"",BBFN1.M.DE.N.1.A.U2.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from credit terms granted / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:36,
1995-01,12.147,
1995-02,12.069,
1995-03,12.646,
1995-04,12.347,
1995-05,12.637,
1995-06,12.489,
1995-07,12.125,
1995-08,11.880,
1995-09,12.423,
1995-10,12.400,
1995-11,12.862,
1995-12,12.114,
1996-01,12.278,
1996-02,12.300,
1996-03,12.760,
1996-04,12.641,
1996-05,12.673,
1996-06,12.737,
1996-07,12.684,
1996-08,11.881,
1996-09,12.719,
1996-10,12.758,
1996-11,13.351,
1996-12,12.607,
1997-01,13.026,
1997-02,12.521,
1997-03,13.018,
1997-04,13.235,
1997-05,12.929,
1997-06,13.231,
1997-07,13.013,
1997-08,12.027,
1997-09,13.510,
1997-10,14.039,
1997-11,14.272,
1997-12,13.911,
1998-01,13.859,
1998-02,14.302,
1998-03,15.066,
1998-04,14.666,
1998-05,14.880,
1998-06,15.045,
1998-07,15.175,
1998-08,14.077,
1998-09,14.720,
1998-10,15.031,
1998-11,15.109,
1998-12,14.402,
1999-01,14.273,
1999-02,14.836,
1999-03,15.493,
1999-04,15.146,
1999-05,15.529,
1999-06,16.140,
1999-07,15.502,
1999-08,14.766,
1999-09,15.616,
1999-10,16.548,
1999-11,17.058,
1999-12,16.408,
2000-01,16.768,
2000-02,17.642,
2000-03,18.591,
2000-04,18.337,
2000-05,19.276,
2000-06,19.204,
2000-07,18.512,
2000-08,18.056,
2000-09,18.947,
2000-10,19.821,
2000-11,20.537,
2000-12,18.948,
2001-01,19.993,
2001-02,19.738,
2001-03,20.682,
2001-04,19.654,
2001-05,20.408,
2001-06,20.353,
2001-07,19.574,
2001-08,19.083,
2001-09,19.964,
2001-10,19.944,
2001-11,20.584,
2001-12,19.225,
2002-01,19.656,
2002-02,19.374,
2002-03,18.933,
2002-04,18.917,
2002-05,18.340,
2002-06,18.924,
2002-07,18.629,
2002-08,16.944,
2002-09,18.004,
2002-10,18.567,
2002-11,18.808,
2002-12,17.771,
2003-01,18.339,
2003-02,17.617,
2003-03,18.622,
2003-04,18.371,
2003-05,18.218,
2003-06,18.310,
2003-07,17.857,
2003-08,17.136,
2003-09,17.778,
2003-10,18.603,
2003-11,19.692,
2003-12,18.709,
2004-01,18.051,
2004-02,19.117,
2004-03,19.845,
2004-04,19.054,
2004-05,19.178,
2004-06,20.267,
2004-07,19.076,
2004-08,18.297,
2004-09,19.446,
2004-10,19.689,
2004-11,21.099,
2004-12,19.872,
2005-01,20.099,
2005-02,19.729,
2005-03,21.076,
2005-04,20.393,
2005-05,20.079,
2005-06,20.802,
2005-07,20.235,
2005-08,19.504,
2005-09,21.172,
2005-10,21.535,
2005-11,21.900,
2005-12,20.772,
2006-01,21.627,
2006-02,21.309,
2006-03,22.166,
2006-04,21.188,
2006-05,21.327,
2006-06,21.974,
2006-07,20.611,
2006-08,19.701,
2006-09,21.392,
2006-10,21.776,
2006-11,22.828,
2006-12,21.351,
2007-01,22.872,
2007-02,22.852,
2007-03,24.447,
2007-04,22.904,
2007-05,22.807,
2007-06,23.300,
2007-07,22.344,
2007-08,21.318,
2007-09,22.310,
2007-10,23.277,
2007-11,24.298,
2007-12,22.807,
2008-01,23.332,
2008-02,24.596,
2008-03,25.273,
2008-04,25.144,
2008-05,24.960,
2008-06,25.452,
2008-07,24.035,
2008-08,22.787,
2008-09,24.225,
2008-10,25.338,
2008-11,25.479,
2008-12,23.618,
2009-01,23.792,
2009-02,22.869,
2009-03,23.226,
2009-04,22.394,
2009-05,22.362,
2009-06,23.183,
2009-07,22.040,
2009-08,20.837,
2009-09,21.314,
2009-10,22.158,
2009-11,23.049,
2009-12,22.144,
2010-01,21.455,
2010-02,21.643,
2010-03,23.415,
2010-04,21.908,
2010-05,22.679,
2010-06,23.808,
2010-07,22.889,
2010-08,21.442,
2010-09,23.640,
2010-10,23.966,
2010-11,24.212,
2010-12,23.627,
2011-01,23.530,
2011-02,25.138,
2011-03,25.749,
2011-04,25.102,
2011-05,25.757,
2011-06,27.426,
2011-07,25.904,
2011-08,24.329,
2011-09,26.622,
2011-10,26.475,
2011-11,26.850,
2011-12,25.458,
2012-01,25.405,
2012-02,26.050,
2012-03,26.695,
2012-04,25.254,
2012-05,25.916,
2012-06,27.049,
2012-07,26.219,
2012-08,24.735,
2012-09,26.264,
2012-10,26.403,
2012-11,27.708,
2012-12,25.676,
2013-01,25.261,
2013-02,25.330,
2013-03,26.264,
2013-04,24.670,
2013-05,23.367,
2013-06,24.330,
2013-07,23.011,
2013-08,22.992,
2013-09,23.387,
2013-10,23.050,
2013-11,24.894,
2013-12,25.240,
2014-01,24.177,
2014-02,24.332,
2014-03,25.670,
2014-04,24.335,
2014-05,23.603,
2014-06,24.851,
2014-07,24.041,
2014-08,23.268,
2014-09,24.091,
2014-10,24.634,
2014-11,25.939,
2014-12,24.838,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
