"",BBFB1.Q.N.DE.SI.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:47,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-0.493,
1992-07,-2.429,
1992-10,-3.659,
1993-01,-3.670,
1993-04,-13.952,
1993-07,-12.747,
1993-10,-14.505,
1994-01,-12.783,
1994-04,-13.251,
1994-07,-13.728,
1994-10,-14.276,
1995-01,-13.692,
1995-04,-12.783,
1995-07,-14.421,
1995-10,-12.964,
1996-01,-10.621,
1996-04,-11.169,
1996-07,-11.322,
1996-10,-16.585,
1997-01,-14.826,
1997-04,-16.249,
1997-07,-16.310,
1997-10,-15.393,
1998-01,-15.165,
1998-04,-13.995,
1998-07,-16.230,
1998-10,-15.037,
1999-01,-15.999,
1999-04,-17.241,
1999-07,-16.600,
1999-10,-20.032,
2000-01,-21.785,
2000-04,-19.666,
2000-07,-21.817,
2000-10,-21.763,
2001-01,-19.181,
2001-04,-20.891,
2001-07,-20.815,
2001-10,-21.386,
2002-01,-18.994,
2002-04,-18.972,
2002-07,-17.890,
2002-10,-19.665,
2003-01,-18.986,
2003-04,-18.131,
2003-07,-19.063,
2003-10,-18.859,
2004-01,-16.261,
2004-04,-15.483,
2004-07,-16.356,
2004-10,-16.760,
2005-01,-16.085,
2005-04,-15.606,
2005-07,-16.606,
2005-10,-16.386,
2006-01,-13.543,
2006-04,-15.227,
2006-07,-15.150,
2006-10,-17.234,
2007-01,-16.072,
2007-04,-15.521,
2007-07,-15.560,
2007-10,-16.868,
2008-01,-18.461,
2008-04,-19.637,
2008-07,-17.566,
2008-10,-17.776,
2009-01,-21.680,
2009-04,-20.635,
2009-07,-22.193,
2009-10,-22.403,
2010-01,-23.235,
2010-04,-26.922,
2010-07,-34.810,
2010-10,-27.799,
2011-01,-19.805,
2011-04,-18.987,
2011-07,-21.724,
2011-10,-20.861,
2012-01,-21.926,
2012-04,-31.151,
2012-07,-21.796,
2012-10,-30.456,
2013-01,-22.553,
2013-04,-24.878,
2013-07,-14.193,
2013-10,-38.763,
2014-01,-22.189,Provisional value
2014-04,-45.608,Provisional value
2014-07,-19.165,Provisional value
