"",BBK01.OEXJ05V,BBK01.OEXJ05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:52,
2002-01,0.012,
2002-04,0.024,
2002-07,0.025,
2002-10,0.025,
2003-01,0.024,
2003-04,0.021,
2003-07,0.021,
2003-10,0.022,
2004-01,0.005,
2004-04,0.004,
2004-07,0.004,
2004-10,0.004,
2005-01,0.003,
2005-04,0.004,
2005-07,0.004,
2005-10,0.010,
2006-01,0.013,
2006-04,0.008,
2006-07,0.004,
2006-10,0.004,
2007-01,0.005,
2007-04,0.004,
2007-07,0.003,
2007-10,0.003,
2008-01,0.002,
2008-04,0.002,
2008-07,0.001,
2008-10,0.002,
2009-01,0.002,
2009-04,0.017,
2009-07,0.036,
2009-10,0.041,
2010-01,0.042,
2010-04,0.044,
2010-07,0.045,
2010-10,0.040,
2011-01,0.038,
2011-04,0.042,
2011-07,0.045,
2011-10,0.047,
2012-01,0.079,
2012-04,0.073,
2012-07,0.074,
2012-10,0.075,
2013-01,0.070,
2013-04,0.070,
2013-07,0.070,
2013-10,0.012,
2014-01,0.064,
2014-04,0.172,
2014-07,0.164,
