"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.US.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.US.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / United States,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:49,
2009-09,1248,
2009-10,1236,
2009-11,1215,
2009-12,1296,
2010-01,1332,
2010-02,1358,
2010-03,1380,
2010-04,1389,
2010-05,1503,
2010-06,1495,
2010-07,1409,
2010-08,1408,
2010-09,1399,
2010-10,1373,
2010-11,1300,
2010-12,1275,
2011-01,1240,
2011-02,1217,
2011-03,1118,
2011-04,1070,
2011-05,1070,
2011-06,1055,
2011-07,1070,
2011-08,1057,
2011-09,1132,
2011-10,1090,
2011-11,1145,
2011-12,1177,
2012-01,1157,
2012-02,1133,
2012-03,1143,
2012-04,908,
2012-05,967,
2012-06,1274,
2012-07,1306,
2012-08,1274,
2012-09,1245,
2012-10,1237,
2012-11,1238,
2012-12,1286,
2013-01,1221,
2013-02,1261,
2013-03,1306,
2013-04,1112,
2013-05,1118,
2013-06,1112,
2013-07,1234,
2013-08,1175,
2013-09,1158,
2013-10,1144,
2013-11,1200,
2013-12,1248,
2014-01,1155,
2014-02,1135,
2014-03,1134,
2014-04,1162,
2014-05,1180,
2014-06,1180,
2014-07,1204,
2014-08,1221,
2014-09,1394,
2014-10,1400,
2014-11,1376,
