"",BBK01.TYI313,BBK01.TYI313_FLAGS
"",Lending to general government / Total / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:51,
1980-01,0,
1980-02,1417,
1980-03,-1054,
1980-04,1991,
1980-05,1387,
1980-06,-106,
1980-07,1236,
1980-08,1420,
1980-09,-609,
1980-10,2035,
1980-11,6499,
1980-12,-1218,
1981-01,507,
1981-02,1465,
1981-03,-109,
1981-04,1983,
1981-05,1013,
1981-06,1888,
1981-07,4490,
1981-08,1508,
1981-09,1210,
1981-10,2719,
1981-11,6611,
1981-12,2144,
1982-01,2746,
1982-02,575,
1982-03,1602,
1982-04,1001,
1982-05,-626,
1982-06,77,
1982-07,2279,
1982-08,218,
1982-09,1341,
1982-10,3335,
1982-11,3638,
1982-12,3208,
1983-01,2023,
1983-02,544,
1983-03,2244,
1983-04,-1565,
1983-05,2892,
1983-06,-1062,
1983-07,827,
1983-08,887,
1983-09,-1766,
1983-10,2319,
1983-11,3251,
1983-12,266,
1984-01,-1148,
1984-02,-1572,
1984-03,-1225,
1984-04,1595,
1984-05,-78,
1984-06,-155,
1984-07,2016,
1984-08,1565,
1984-09,718,
1984-10,1671,
1984-11,5992,
1984-12,-352,
1985-01,2358,
1985-02,1606,
1985-03,191,
1985-04,430,
1985-05,359,
1985-06,-2137,
1985-07,981,
1985-08,-157,
1985-09,232,
1985-10,1977,
1985-11,2703,
1985-12,1374,
1986-01,1534,
1986-02,-2477,
1986-03,-240,
1986-04,-303,
1986-05,1426,
1986-06,-1535,
1986-07,1906,
1986-08,-631,
1986-09,97,
1986-10,3355,
1986-11,1732,
1986-12,253,
1987-01,-1449,
1987-02,-853,
1987-03,-439,
1987-04,-7,
1987-05,2055,
1987-06,-689,
1987-07,3510,
1987-08,1662,
1987-09,221,
1987-10,5589,
1987-11,3072,
1987-12,1020,
1988-01,2566,
1988-02,341,
1988-03,1156,
1988-04,730,
1988-05,2392,
1988-06,2108,
1988-07,3624,
1988-08,2766,
1988-09,878,
1988-10,2393,
1988-11,6197,
1988-12,-2517,
1989-01,5275,
1989-02,-242,
1989-03,-1450,
1989-04,-1090,
1989-05,391,
1989-06,-1818,
1989-07,269,
1989-08,498,
1989-09,-1157,
1989-10,-102,
1989-11,4849,
1989-12,-884,
1990-01,150,
1990-02,1158,
1990-03,503,
1990-04,701,
1990-05,1431,
1990-06,-2942,
1990-07,1141,
1990-08,6756,
1990-09,3965,
1990-10,5803,
1990-11,4031,
1990-12,3446,
1991-01,772,
1991-02,4912,
1991-03,3608,
1991-04,1881,
1991-05,3413,
1991-06,-40,
1991-07,1744,
1991-08,2731,
1991-09,-1219,
1991-10,3008,
1991-11,3128,
1991-12,1577,
1992-01,5158,
1992-02,-557,
1992-03,-654,
1992-04,3489,
1992-05,-270,
1992-06,1053,
1992-07,4048,
1992-08,-380,
1992-09,-4448,
1992-10,7562,
1992-11,8158,
1992-12,2698,
1993-01,2070,
1993-02,2784,
1993-03,4287,
1993-04,2609,
1993-05,6396,
1993-06,1430,
1993-07,2286,
1993-08,1978,
1993-09,2958,
1993-10,8888,
1993-11,7166,
1993-12,-299,
1994-01,2965,
1994-02,4749,
1994-03,4346,
1994-04,461,
1994-05,2915,
1994-06,1766,
1994-07,4633,
1994-08,-837,
1994-09,1023,
1994-10,3720,
1994-11,7837,
1994-12,3409,
1995-01,4644,
1995-02,7884,
1995-03,3013,
1995-04,1381,
1995-05,7563,
1995-06,-2641,
1995-07,10807,
1995-08,2555,
1995-09,682,
1995-10,13747,
1995-11,8651,
1995-12,2043,
1996-01,11917,
1996-02,7305,
1996-03,4872,
1996-04,5615,
1996-05,1235,
1996-06,1426,
1996-07,1631,
1996-08,-1034,
1996-09,-554,
1996-10,14832,
1996-11,13104,
1996-12,-9201,
1997-01,10201,
1997-02,5773,
1997-03,7371,
1997-04,664,
1997-05,4391,
1997-06,-7485,
1997-07,18323,
1997-08,6135,
1997-09,-5015,
1997-10,13649,
1997-11,9230,
1997-12,-16985,
1998-01,10853,
1998-02,6201,
1998-03,7770,
1998-04,6136,
1998-05,2091,
1998-06,5283,
1998-07,1181,
1998-08,302,
1998-09,-8637,
1998-10,14321,
1998-11,8144,
1998-12,-10664,
1999-01,3724,
1999-02,5964,
1999-03,1761,
1999-04,3176,
1999-05,14480,
1999-06,-8229,
1999-07,1929,
1999-08,-1786,
1999-09,8439,
1999-10,16769,
1999-11,4402,
1999-12,-13057,
2000-01,12391,
2000-02,1091,
2000-03,-4310,
2000-04,-31,
2000-05,-3253,
2000-06,-6963,
2000-07,-1276,
2000-08,-2145,
2000-09,-12765,
2000-10,7653,
2000-11,1654,
2000-12,-2479,
2001-01,-5818,
2001-02,-2396,
2001-03,2778,
2001-04,-7168,
2001-05,1771,
2001-06,-3876,
2001-07,11525,
2001-08,-3931,
2001-09,-14024,
2001-10,-4812,
2001-11,9490,
2001-12,-3144,
2002-01,1312,
2002-02,1665,
2002-03,1379,
2002-04,1104,
2002-05,2948,
2002-06,-7161,
2002-07,14576,
2002-08,-7512,
2002-09,1239,
2002-10,-1185,
2002-11,4841,
2002-12,-11843,
2003-01,16434,
2003-02,-7207,
2003-03,1905,
2003-04,-1734,
2003-05,-2088,
2003-06,-17105,
2003-07,8970,
2003-08,-16275,
2003-09,4882,
2003-10,7502,
2003-11,8946,
2003-12,-10157,
2004-01,6247,
2004-02,13742,
2004-03,18336,
2004-04,-5643,
2004-05,139,
2004-06,3188,
2004-07,10495,
2004-08,767,
2004-09,-5329,
2004-10,12281,
2004-11,-5738,
2004-12,-12236,
2005-01,14598,
2005-02,-2829,
2005-03,9594,
2005-04,12396,
2005-05,-6627,
2005-06,-18374,
2005-07,969,
2005-08,169,
2005-09,-12007,
2005-10,-664,
2005-11,2262,
2005-12,-4300,
2006-01,8304,
2006-02,-12582,
2006-03,2118,
2006-04,-352,
2006-05,5885,
2006-06,-14992,
2006-07,-1489,
2006-08,-8205,
2006-09,-9145,
2006-10,4900,
2006-11,7158,
2006-12,-17786,
2007-01,10729,
2007-02,-7827,
2007-03,-3990,
2007-04,-874,
2007-05,2148,
2007-06,-15578,
2007-07,-67,
2007-08,-17820,
2007-09,-9370,
2007-10,-3238,
2007-11,-6402,
2007-12,-5879,
2008-01,-529,
2008-02,5284,
2008-03,498,
2008-04,9436,
2008-05,-5764,
2008-06,-12823,
2008-07,-3837,
2008-08,-4552,
2008-09,-17282,
2008-10,2966,
2008-11,-4597,
2008-12,-1673,
2009-01,6473,
2009-02,-2410,
2009-03,-4569,
2009-04,6746,
2009-05,963,
2009-06,-259,
2009-07,14777,
2009-08,-8735,
2009-09,3619,
2009-10,19065,
2009-11,-6963,
2009-12,-7392,
2010-01,11140,
2010-02,2455,
2010-03,6239,
2010-04,4126,
2010-05,18089,
2010-06,25301,
2010-07,-1374,
2010-08,1758,
2010-09,7907,
2010-10,112210,
2010-11,7115,
2010-12,-32291,
2011-01,10993,
2011-02,-14290,
2011-03,-12497,
2011-04,-7738,
2011-05,-9692,
2011-06,-9973,
2011-07,1251,
2011-08,2604,
2011-09,3113,
2011-10,3421,
2011-11,-513,
2011-12,-6407,
2012-01,11236,
2012-02,-259,
2012-03,879,
2012-04,2010,
2012-05,-8190,
2012-06,17605,
2012-07,-4451,
2012-08,-4665,
2012-09,5050,
2012-10,10527,
2012-11,-1159,
2012-12,-18487,
2013-01,936,
2013-02,-6676,
2013-03,-3040,
2013-04,10047,
2013-05,-11197,
2013-06,-3420,
2013-07,9800,
2013-08,-4074,
2013-09,-6107,
2013-10,10078,
2013-11,-2892,
2013-12,-8654,
2014-01,5449,
2014-02,792,
2014-03,-3663,
2014-04,852,
2014-05,2362,
2014-06,-7750,
2014-07,7094,
2014-08,-7180,
2014-09,3989,
2014-10,9518,
2014-11,-1214,
2014-12,-17208,
2015-01,15126,
