"",BBK01.OEAC53R,BBK01.OEAC53R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:22,
2002-01,0.092,
2002-04,0.103,
2002-07,0.094,
2002-10,0.098,
2003-01,0.103,
2003-04,0.079,
2003-07,0.082,
2003-10,0.084,
2004-01,0.084,
2004-04,0.096,
2004-07,0.095,
2004-10,0.097,
2005-01,0.096,
2005-04,0.096,
2005-07,0.100,
2005-10,0.089,
2006-01,0.091,
2006-04,0.096,
2006-07,0.090,
2006-10,0.092,
2007-01,0.089,
2007-04,0.090,
2007-07,0.091,
2007-10,0.091,
2008-01,0.087,
2008-04,0.090,
2008-07,0.090,
2008-10,0.094,
2009-01,0.095,
2009-04,0.096,
2009-07,0.094,
2009-10,0.089,
2010-01,0.094,
2010-04,0.099,
2010-07,0.099,
2010-10,0.092,
2011-01,0.100,
2011-04,0.098,
2011-07,0.095,
2011-10,0.093,
2012-01,0.082,
2012-04,0.086,
2012-07,0.174,
2012-10,0.234,
2013-01,0.236,
2013-04,0.238,
2013-07,0.233,
2013-10,0.233,
2014-01,0.233,
2014-04,0.238,
2014-07,0.234,
