"",BBDA1.M.DE.Y.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.U2.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Euro area 18 (fixed composition) excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:31,
1990-07,11.75,
1990-08,11.84,
1990-09,12.09,
1990-10,12.42,
1990-11,13.57,
1990-12,11.95,
1991-01,14.50,
1991-02,12.92,
1991-03,13.28,
1991-04,12.25,
1991-05,13.89,
1991-06,13.71,
1991-07,13.91,
1991-08,13.30,
1991-09,13.10,
1991-10,13.34,
1991-11,13.66,
1991-12,12.50,
1992-01,13.68,
1992-02,13.41,
1992-03,13.35,
1992-04,13.75,
1992-05,12.92,
1992-06,12.41,
1992-07,14.08,
1992-08,12.29,
1992-09,12.63,
1992-10,12.74,
1992-11,12.79,
1992-12,13.10,
1993-01,11.55,
1993-02,11.65,
1993-03,11.05,
1993-04,11.27,
1993-05,11.05,
1993-06,10.68,
1993-07,10.98,
1993-08,11.45,
1993-09,11.44,
1993-10,10.97,
1993-11,11.81,
1993-12,11.29,
1994-01,10.94,
1994-02,11.33,
1994-03,11.99,
1994-04,12.09,
1994-05,12.36,
1994-06,11.93,
1994-07,12.20,
1994-08,12.02,
1994-09,13.00,
1994-10,12.62,
1994-11,12.50,
1994-12,13.01,
1995-01,13.05,
1995-02,13.30,
1995-03,13.79,
1995-04,13.08,
1995-05,12.99,
1995-06,13.80,
1995-07,13.29,
1995-08,12.82,
1995-09,14.07,
1995-10,13.33,
1995-11,12.86,
1995-12,13.58,
1996-01,15.22,
1996-02,12.86,
1996-03,13.67,
1996-04,13.82,
1996-05,12.68,
1996-06,13.59,
1996-07,13.69,
1996-08,13.12,
1996-09,13.54,
1996-10,14.29,
1996-11,13.82,
1996-12,14.41,
1997-01,14.35,
1997-02,14.94,
1997-03,14.58,
1997-04,13.53,
1997-05,14.97,
1997-06,15.09,
1997-07,15.41,
1997-08,15.58,
1997-09,14.93,
1997-10,15.53,
1997-11,15.66,
1997-12,15.03,
1998-01,17.73,
1998-02,15.84,
1998-03,15.00,
1998-04,17.47,
1998-05,15.12,
1998-06,16.50,
1998-07,16.61,
1998-08,16.08,
1998-09,15.34,
1998-10,15.86,
1998-11,15.32,
1998-12,15.79,
1999-01,16.28,
1999-02,15.94,
1999-03,16.07,
1999-04,15.97,
1999-05,16.81,
1999-06,16.59,
1999-07,16.59,
1999-08,18.54,
1999-09,16.19,
1999-10,16.57,
1999-11,17.31,
1999-12,16.28,
2000-01,18.13,
2000-02,16.60,
