"",BBEX3.A.BTN.USD.CA.AB.A04,BBEX3.A.BTN.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Bhutan / USD 1 = BTN ... (selling) *),
unit,BTN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:20,
1994,31.5500,
1995,32.6925,
1996,35.5742,
1997,36.5075,
1998,41.5567,
1999,43.2892,
2000,45.2067,
2001,47.4583,
2002,48.7775,
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,.,No value available
2011,47.1833,
2012,53.7650,
2013,59.0800,
2014,61.3275,
"",General: *) Only reference rates (mid-market rates) are available for the period from January 2003 to January 2010. The Indian rupee is likewise legal tender alongside the Bhutanese ngultrum (convertible at par).,
"","Source: Since 2011: Bhutan National Bank Limited, Thimphu. 1994 - 2002: Royal Monetary Authority of Bhutan, Thimphu.",
"",Methodology: Calculated on the basis of month-end rates.,
