"",BBSF2.M.1.P.00000.TOT01.I.F.INV.DK.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.DK.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:17,
2009-09,6,
2009-10,11,
2009-11,9,
2009-12,9,
2010-01,10,
2010-02,10,
2010-03,11,
2010-04,13,
2010-05,16,
2010-06,16,
2010-07,13,
2010-08,13,
2010-09,14,
2010-10,13,
2010-11,14,
2010-12,12,
2011-01,9,
2011-02,8,
2011-03,5,
2011-04,4,
2011-05,4,
2011-06,4,
2011-07,6,
2011-08,5,
2011-09,3,
2011-10,4,
2011-11,4,
2011-12,5,
2012-01,4,
2012-02,18,
2012-03,16,
2012-04,16,
2012-05,16,
2012-06,15,
2012-07,19,
2012-08,18,
2012-09,21,
2012-10,23,
2012-11,26,
2012-12,26,
2013-01,24,
2013-02,25,
2013-03,28,
2013-04,29,
2013-05,29,
2013-06,29,
2013-07,30,
2013-08,29,
2013-09,29,
2013-10,29,
2013-11,30,
2013-12,30,
2014-01,31,
2014-02,31,
2014-03,30,
2014-04,30,
2014-05,30,
2014-06,31,
2014-07,31,
2014-08,31,
2014-09,31,
2014-10,33,
2014-11,35,
