"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:20,
1991-01,-48.529,
1991-04,-38.929,
1991-07,-42.969,
1991-10,93.780,
1992-01,73.889,
1992-04,640.226,
1992-07,-66.578,
1992-10,58.389,
1993-01,52.246,
1993-04,302.359,
1993-07,167.621,
1993-10,231.309,
1994-01,87.612,
1994-04,242.439,
1994-07,-200.594,
1994-10,164.719,
1995-01,480.242,
1995-04,517.885,
1995-07,515.434,
1995-10,264.613,
1996-01,242.803,
1996-04,98.191,
1996-07,356.791,
1996-10,415.907,
1997-01,296.669,
1997-04,933.871,
1997-07,535.988,
1997-10,-212.143,
1998-01,338.349,
1998-04,273.611,
1998-07,869.897,
1998-10,2987.748,
1999-01,2846.530,
1999-04,1983.325,
1999-07,966.266,
1999-10,2484.899,
2000-01,3462.388,
2000-04,3543.771,
2000-07,3250.234,
2000-10,-144.787,
2001-01,2670.632,
2001-04,910.690,
2001-07,59.761,
2001-10,1933.194,
2002-01,2862.398,
2002-04,611.268,
2002-07,-6.456,
2002-10,-567.366,
2003-01,556.115,
2003-04,2187.051,
2003-07,-611.691,
2003-10,-642.337,
2004-01,3457.033,
2004-04,-93.377,
2004-07,2012.625,
2004-10,466.992,
2005-01,2179.645,
2005-04,2721.957,
2005-07,-988.861,
2005-10,1534.702,
2006-01,3098.973,
2006-04,1101.223,
2006-07,667.558,
2006-10,3449.268,
2007-01,4673.313,
2007-04,-1112.611,
2007-07,-129.664,
2007-10,-1440.199,
2008-01,196.412,
2008-04,-731.375,
2008-07,901.107,
2008-10,-327.145,
2009-01,813.511,
2009-04,2526.054,
2009-07,2433.534,
2009-10,638.997,
2010-01,-855.798,
2010-04,115.007,
2010-07,36.091,
2010-10,1232.578,
2011-01,863.431,
2011-04,-270.340,
2011-07,-1189.336,
2011-10,858.659,
2012-01,1892.318,
2012-04,-1126.107,
2012-07,1392.908,
2012-10,1433.012,
2013-01,-174.477,
2013-04,2093.121,
2013-07,-584.302,
2013-10,2256.738,
2014-01,-1790.236,Provisional value
2014-04,1550.782,Provisional value
2014-07,-2102.071,Provisional value
2014-10,-637.040,Provisional value
