"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:03,
1991-01,-1.215,
1991-04,-1.103,
1991-07,-1.103,
1991-10,-1.103,
1992-01,3.895,
1992-04,3.485,
1992-07,3.895,
1992-10,3.895,
1993-01,-5.293,
1993-04,-5.293,
1993-07,-7.275,
1993-10,-5.293,
1994-01,0.259,
1994-04,0.106,
1994-07,0.259,
1994-10,0.259,
1995-01,-0.063,
1995-04,-0.063,
1995-07,-0.063,
1995-10,-0.063,
1996-01,-9.774,
1996-04,-9.774,
1996-07,-9.774,
1996-10,-9.774,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-0.256,
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,6.000,
1999-04,5.000,
1999-07,5.000,
1999-10,3.000,
2000-01,-,Nothing exists
2000-04,-3.000,
2000-07,-2.000,
2000-10,-,Nothing exists
2001-01,2.895,
2001-04,2.595,
2001-07,3.633,
2001-10,2.895,
2002-01,-1.026,
2002-04,-1.232,
2002-07,-3.335,
2002-10,-1.682,
2003-01,0.695,
2003-04,0.833,
2003-07,0.904,
2003-10,1.042,
2004-01,4.340,
2004-04,4.280,
2004-07,4.577,
2004-10,3.758,
2005-01,4.617,
2005-04,4.529,
2005-07,1.845,
2005-10,5.034,
2006-01,3.142,
2006-04,3.387,
2006-07,3.877,
2006-10,4.230,
2007-01,1.601,
2007-04,1.460,
2007-07,1.180,
2007-10,0.764,
2008-01,19.165,
2008-04,-12.790,
2008-07,-20.781,
2008-10,-5.831,
2009-01,-0.171,
2009-04,-1.405,
2009-07,-3.865,
2009-10,-9.735,
2010-01,2.966,
2010-04,3.749,
2010-07,4.141,
2010-10,3.415,
2011-01,5.605,
2011-04,44.636,
2011-07,23.755,
2011-10,4.002,
2012-01,27.333,
2012-04,57.267,
2012-07,57.787,
2012-10,28.986,
2013-01,62.237,
2013-04,51.658,
2013-07,35.659,
2013-10,56.242,
2014-01,57.422,Provisional value
2014-04,47.309,Provisional value
2014-07,58.888,Provisional value
2014-10,59.183,Provisional value
