"",BBSF2.M.1.T.00000.ALT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:20,
2009-09,102,
2009-10,98,
2009-11,98,
2009-12,104,
2010-01,46,
2010-02,48,
2010-03,53,
2010-04,53,
2010-05,52,
2010-06,52,
2010-07,73,
2010-08,69,
2010-09,70,
2010-10,79,
2010-11,80,
2010-12,82,
2011-01,81,
2011-02,80,
2011-03,74,
2011-04,82,
2011-05,76,
2011-06,77,
2011-07,81,
2011-08,76,
2011-09,101,
2011-10,113,
2011-11,109,
2011-12,110,
2012-01,115,
2012-02,116,
2012-03,113,
2012-04,109,
2012-05,99,
2012-06,98,
2012-07,101,
2012-08,104,
2012-09,106,
2012-10,113,
2012-11,106,
2012-12,112,
2013-01,104,
2013-02,102,
2013-03,100,
2013-04,95,
2013-05,101,
2013-06,94,
2013-07,96,
2013-08,99,
2013-09,102,
2013-10,106,
2013-11,109,
2013-12,105,
2014-01,72,
2014-02,77,
2014-03,77,
2014-04,78,
2014-05,78,
2014-06,75,
2014-07,77,
2014-08,79,
2014-09,79,
2014-10,81,
2014-11,87,
