"",BBK01.OEAC37U,BBK01.OEAC37U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:41,
2002-01,0.071,
2002-04,0.071,
2002-07,0.071,
2002-10,0.075,
2003-01,0.074,
2003-04,0.075,
2003-07,0.074,
2003-10,0.077,
2004-01,0.078,
2004-04,0.079,
2004-07,0.078,
2004-10,0.079,
2005-01,0.079,
2005-04,0.080,
2005-07,0.080,
2005-10,0.078,
2006-01,0.081,
2006-04,0.085,
2006-07,0.086,
2006-10,0.085,
2007-01,0.086,
2007-04,0.086,
2007-07,0.082,
2007-10,0.081,
2008-01,0.083,
2008-04,0.085,
2008-07,0.083,
2008-10,0.083,
2009-01,0.072,
2009-04,0.081,
2009-07,0.084,
2009-10,0.084,
2010-01,0.083,
2010-04,0.082,
2010-07,0.082,
2010-10,0.082,
2011-01,0.084,
2011-04,0.087,
2011-07,0.086,
2011-10,0.087,
2012-01,0.086,
2012-04,0.085,
2012-07,0.082,
2012-10,0.081,
2013-01,0.081,
2013-04,0.086,
2013-07,0.080,
2013-10,0.089,
2014-01,0.079,
2014-04,0.073,
2014-07,0.071,
