"",BBK01.OECB10S,BBK01.OECB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:53,
2002-01,0.350,
2002-04,0.338,
2002-07,0.365,
2002-10,0.285,
2003-01,0.261,
2003-04,0.268,
2003-07,0.254,
2003-10,0.234,
2004-01,0.235,
2004-04,0.213,
2004-07,0.215,
2004-10,0.182,
2005-01,0.190,
2005-04,0.159,
2005-07,0.168,
2005-10,0.142,
2006-01,0.163,
2006-04,0.181,
2006-07,0.163,
2006-10,0.126,
2007-01,0.115,
2007-04,0.116,
2007-07,0.127,
2007-10,0.141,
2008-01,0.151,
2008-04,0.154,
2008-07,0.151,
2008-10,0.127,
2009-01,0.145,
2009-04,0.144,
2009-07,0.142,
2009-10,0.142,
2010-01,0.148,
2010-04,0.151,
2010-07,0.146,
2010-10,0.117,
2011-01,0.134,
2011-04,0.180,
2011-07,0.152,
2011-10,0.150,
2012-01,0.162,
2012-04,0.159,
2012-07,0.166,
2012-10,0.154,
2013-01,0.162,
2013-04,0.164,
2013-07,0.166,
2013-10,0.153,
2014-01,0.143,
2014-04,0.149,
2014-07,0.150,
