"",BBDA1.M.DE.N.EX.S.A.NL.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NL.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Netherlands / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:13,
1990-07,2266596,
1990-08,2261468,
1990-09,2232287,
1990-10,2741044,
1990-11,2434926,
1990-12,1996997,
1991-01,2535099,
1991-02,2252279,
1991-03,2548171,
1991-04,2451747,
1991-05,2321724,
1991-06,2361019,
1991-07,2516167,
1991-08,2309546,
1991-09,2249112,
1991-10,2578961,
1991-11,2382074,
1991-12,2161822,
1992-01,2353160,
1992-02,2412749,
1992-03,2719144,
1992-04,2612008,
1992-05,2159856,
1992-06,2109459,
1992-07,2514953,
1992-08,2140468,
1992-09,2367947,
1992-10,2587143,
1992-11,2307602,
1992-12,2219002,
1993-01,1795576,
1993-02,2153850,
1993-03,2273367,
1993-04,2110923,
1993-05,2036869,
1993-06,2062415,
1993-07,1997422,
1993-08,1856837,
1993-09,2184152,
1993-10,2059647,
1993-11,2096304,
1993-12,2076732,
1994-01,2008233,
1994-02,2177838,
1994-03,2461701,
1994-04,2160334,
1994-05,2153421,
1994-06,2388319,
1994-07,2155167,
1994-08,2238405,
1994-09,2465521,
1994-10,2331448,
1994-11,2148991,
1994-12,2288985,
1995-01,2331622,
1995-02,2328846,
1995-03,2612182,
1995-04,2327140,
1995-05,2419652,
1995-06,2626713,
1995-07,2161117,
1995-08,2297984,
1995-09,2740259,
1995-10,2524368,
1995-11,2415767,
1995-12,2418304,
1996-01,2666327,
1996-02,2379320,
1996-03,2588598,
1996-04,2641050,
1996-05,2457447,
1996-06,2451838,
1996-07,2569392,
1996-08,2436525,
1996-09,2475434,
1996-10,2961728,
1996-11,2602515,
1996-12,2589212,
1997-01,2400902,
1997-02,2639356,
1997-03,2611172,
1997-04,2530023,
1997-05,2638223,
1997-06,2807157,
1997-07,2746619,
1997-08,2552473,
1997-09,2749399,
1997-10,2892641,
1997-11,2818711,
1997-12,2852379,
1998-01,3096186,
1998-02,2849552,
1998-03,2891041,
1998-04,3147246,
1998-05,2639994,
1998-06,2943739,
1998-07,3039633,
1998-08,2453538,
1998-09,2649767,
1998-10,3010082,
1998-11,2779179,
1998-12,2710662,
1999-01,2542403,
1999-02,2803097,
1999-03,2858962,
1999-04,2893973,
1999-05,2718247,
1999-06,2998683,
1999-07,2880385,
1999-08,2778190,
1999-09,2744587,
1999-10,2954641,
1999-11,3299468,
1999-12,2882293,
2000-01,3013716,
2000-02,3074057,
2000-03,3600500,
2000-04,3179195,
2000-05,3267908,
2000-06,3210292,
2000-07,3128062,
2000-08,3071963,
2000-09,3075625,
2000-10,3504951,
2000-11,3592929,
2000-12,3274251,
2001-01,3381031,
2001-02,3433720,
2001-03,3525084,
2001-04,3622069,
2001-05,3221808,
2001-06,3378559,
2001-07,3228626,
2001-08,3309495,
2001-09,2952471,
2001-10,3593363,
2001-11,3369651,
2001-12,2995175,
2002-01,3202355,
2002-02,3176844,
2002-03,3374230,
2002-04,3536733,
2002-05,3052040,
2002-06,3544169,
2002-07,3293708,
2002-08,3179899,
2002-09,3311254,
2002-10,3568483,
2002-11,3752593,
2002-12,3470641,
2003-01,3224834,
2003-02,3458855,
2003-03,3703332,
2003-04,3526535,
2003-05,3319363,
2003-06,3365438,
2003-07,3399220,
2003-08,3224802,
2003-09,3594390,
2003-10,3680760,
2003-11,3817603,
2003-12,3903658,
2004-01,3588066,
2004-02,3610289,
2004-03,3989121,
2004-04,3627762,
2004-05,3668402,
2004-06,3995352,
2004-07,3791466,
2004-08,3788755,
2004-09,4032007,
2004-10,4442052,
2004-11,4398779,
2004-12,3797685,
2005-01,3844940,
2005-02,3736770,
2005-03,4031265,
2005-04,4012849,
2005-05,4030520,
2005-06,4232520,
2005-07,3898891,
2005-08,4043647,
2005-09,4298474,
2005-10,4181006,
2005-11,4588572,
2005-12,4133952,
2006-01,4466835,
2006-02,4466434,
2006-03,4924374,
2006-04,4620466,
2006-05,4694861,
2006-06,4582564,
2006-07,4686122,
2006-08,4514495,
2006-09,4615762,
2006-10,5167258,
2006-11,5055252,
2006-12,4736360,
2007-01,4878507,
2007-02,5097370,
2007-03,5398409,
2007-04,5357952,
2007-05,5180945,
2007-06,5319704,
2007-07,5094067,
2007-08,5012527,
2007-09,5138712,
2007-10,6005471,
2007-11,5646831,
2007-12,4817461,
2008-01,5634885,
2008-02,5398997,
2008-03,5717027,
2008-04,5716721,
2008-05,5379651,
2008-06,5808622,
2008-07,5648854,
2008-08,5323671,
2008-09,5552707,
2008-10,5966396,
2008-11,5182752,
2008-12,4468486,
2009-01,4526552,
2009-02,4620230,
2009-03,4832316,
2009-04,4488340,
2009-05,4138307,
2009-06,4442484,
2009-07,4460176,
2009-08,3993506,
2009-09,4467974,
2009-10,4565345,
2009-11,4311130,
2009-12,4348704,
2010-01,4399325,
2010-02,4655366,
2010-03,5797470,
2010-04,4917346,
2010-05,5050876,
2010-06,5615261,
2010-07,5089522,
2010-08,5022514,
2010-09,5451798,
2010-10,5593708,
2010-11,5453848,
2010-12,5931220,
2011-01,5256962,
2011-02,5628522,
2011-03,6235763,
2011-04,5785868,
2011-05,5881015,
2011-06,6230963,
2011-07,5437020,
2011-08,5395467,
