"",BBFN1.M.DE.N.1.A.S1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:35,
1995-01,0.077,
1995-02,0.077,
1995-03,0.077,
1995-04,0.077,
1995-05,0.076,
1995-06,0.077,
1995-07,0.085,
1995-08,0.088,
1995-09,0.091,
1995-10,0.079,
1995-11,0.077,
1995-12,0.075,
1996-01,0.066,
1996-02,0.066,
1996-03,0.075,
1996-04,0.068,
1996-05,0.070,
1996-06,0.065,
1996-07,0.066,
1996-08,0.081,
1996-09,0.075,
1996-10,0.071,
1996-11,0.054,
1996-12,0.048,
1997-01,0.054,
1997-02,0.075,
1997-03,0.078,
1997-04,0.081,
1997-05,0.076,
1997-06,0.072,
1997-07,0.099,
1997-08,0.108,
1997-09,0.108,
1997-10,0.110,
1997-11,0.106,
1997-12,0.104,
1998-01,0.108,
1998-02,0.107,
1998-03,0.126,
1998-04,0.125,
1998-05,0.126,
1998-06,0.125,
1998-07,0.125,
1998-08,0.132,
1998-09,0.146,
1998-10,0.132,
1998-11,0.129,
1998-12,0.129,
1999-01,0.129,
1999-02,0.149,
1999-03,0.150,
1999-04,0.150,
1999-05,0.124,
1999-06,0.121,
1999-07,0.122,
1999-08,0.119,
1999-09,0.121,
1999-10,0.121,
1999-11,0.111,
1999-12,0.122,
2000-01,0.122,
2000-02,0.110,
2000-03,0.110,
2000-04,0.109,
2000-05,0.107,
2000-06,0.106,
2000-07,0.111,
2000-08,0.110,
2000-09,0.111,
2000-10,0.111,
2000-11,0.115,
2000-12,0.122,
2001-01,0.127,
2001-02,0.126,
2001-03,0.129,
2001-04,0.126,
2001-05,0.121,
2001-06,0.116,
2001-07,0.115,
2001-08,0.114,
2001-09,0.114,
2001-10,0.113,
2001-11,0.105,
2001-12,0.105,
2002-01,0.105,
2002-02,0.103,
2002-03,0.103,
2002-04,0.102,
2002-05,0.134,
2002-06,0.128,
2002-07,0.129,
2002-08,0.127,
2002-09,0.127,
2002-10,0.129,
2002-11,0.126,
2002-12,0.125,
2003-01,0.125,
2003-02,0.124,
2003-03,0.104,
2003-04,0.110,
2003-05,0.105,
2003-06,0.103,
2003-07,0.102,
2003-08,0.101,
2003-09,0.126,
2003-10,0.185,
2003-11,0.172,
2003-12,0.168,
2004-01,0.188,
2004-02,0.189,
2004-03,0.212,
2004-04,0.211,
2004-05,0.212,
2004-06,0.210,
2004-07,0.213,
2004-08,0.210,
2004-09,0.205,
2004-10,0.207,
2004-11,0.204,
2004-12,0.199,
2005-01,0.196,
2005-02,0.209,
2005-03,0.224,
2005-04,0.237,
2005-05,0.278,
2005-06,0.307,
2005-07,0.306,
2005-08,0.310,
2005-09,0.312,
2005-10,0.311,
2005-11,0.310,
2005-12,0.306,
2006-01,0.305,
2006-02,0.318,
2006-03,0.308,
2006-04,0.317,
2006-05,0.309,
2006-06,0.298,
2006-07,0.296,
2006-08,0.295,
2006-09,0.296,
2006-10,0.235,
2006-11,0.236,
2006-12,0.228,
2007-01,0.225,
2007-02,0.225,
2007-03,0.218,
2007-04,0.218,
2007-05,0.217,
2007-06,0.214,
2007-07,0.187,
2007-08,0.194,
2007-09,0.193,
2007-10,0.200,
2007-11,0.204,
2007-12,0.226,
2008-01,0.263,
2008-02,0.261,
2008-03,0.239,
2008-04,0.254,
2008-05,0.286,
2008-06,0.302,
2008-07,0.326,
2008-08,0.328,
2008-09,0.350,
2008-10,0.353,
2008-11,0.352,
2008-12,0.356,
2009-01,0.352,
2009-02,0.351,
2009-03,0.359,
2009-04,0.335,
2009-05,0.339,
2009-06,0.312,
2009-07,0.312,
2009-08,0.308,
2009-09,0.270,
2009-10,0.266,
2009-11,0.266,
2009-12,0.268,
2010-01,0.246,
2010-02,0.244,
2010-03,0.231,
2010-04,0.232,
2010-05,0.232,
2010-06,0.246,
2010-07,0.245,
2010-08,0.215,
2010-09,0.177,
2010-10,0.177,
2010-11,0.182,
2010-12,0.180,
2011-01,0.178,
2011-02,0.160,
2011-03,0.150,
2011-04,0.150,
2011-05,0.169,
2011-06,0.156,
2011-07,0.151,
2011-08,0.151,
2011-09,0.158,
2011-10,0.169,
2011-11,0.168,
2011-12,0.185,
2012-01,0.189,
2012-02,0.193,
2012-03,0.202,
2012-04,0.199,
2012-05,0.209,
2012-06,0.207,
2012-07,0.210,
2012-08,0.198,
2012-09,0.169,
2012-10,0.188,
2012-11,0.189,
2012-12,0.170,
2013-01,0.163,
2013-02,0.167,
2013-03,0.167,
2013-04,0.166,
2013-05,0.166,
2013-06,0.169,
2013-07,0.167,
2013-08,0.182,
2013-09,0.640,
2013-10,0.504,
2013-11,0.497,
2013-12,0.458,
2014-01,0.478,
2014-02,0.463,
2014-03,0.483,
2014-04,0.480,
2014-05,0.499,
2014-06,0.509,
2014-07,0.532,
2014-08,0.530,
2014-09,0.552,
2014-10,0.555,
2014-11,0.554,
2014-12,0.609,
