"",BBK01.OECI09Q,BBK01.OECI09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:16,
2002-01,0.073,
2002-04,0.070,
2002-07,0.069,
2002-10,0.069,
2003-01,0.063,
2003-04,0.060,
2003-07,0.058,
2003-10,0.060,
2004-01,0.058,
2004-04,0.056,
2004-07,0.055,
2004-10,0.065,
2005-01,0.075,
2005-04,0.071,
2005-07,0.068,
2005-10,0.066,
2006-01,0.064,
2006-04,0.066,
2006-07,0.072,
2006-10,0.076,
2007-01,0.089,
2007-04,0.094,
2007-07,0.093,
2007-10,0.102,
2008-01,0.103,
2008-04,0.108,
2008-07,0.118,
2008-10,0.169,
2009-01,0.192,
2009-04,0.187,
2009-07,0.184,
2009-10,0.149,
2010-01,0.103,
2010-04,0.097,
2010-07,0.094,
2010-10,0.102,
2011-01,0.114,
2011-04,0.116,
2011-07,0.117,
2011-10,0.108,
2012-01,0.102,
2012-04,0.099,
2012-07,0.092,
2012-10,0.081,
2013-01,0.068,
2013-04,0.058,
2013-07,0.053,
2013-10,0.055,
2014-01,0.049,
2014-04,0.044,
2014-07,0.051,
