"",BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:22,
1991-01,823.430,
1991-04,879.862,
1991-07,-141.434,
1991-10,47.179,
1992-01,6.400,
1992-04,146.793,
1992-07,164.916,
1992-10,815.513,
1993-01,14.788,
1993-04,-8.666,
1993-07,210.223,
1993-10,729.221,
1994-01,94.232,
1994-04,170.981,
1994-07,317.388,
1994-10,-30.248,
1995-01,-202.641,
1995-04,1005.690,
1995-07,1099.223,
1995-10,857.572,
1996-01,228.457,
1996-04,89.243,
1996-07,-282.084,
1996-10,359.062,
1997-01,755.964,
1997-04,928.109,
1997-07,590.665,
1997-10,1761.637,
1998-01,-192.315,
1998-04,1889.297,
1998-07,2296.533,
1998-10,2067.651,
1999-01,993.257,
1999-04,2172.499,
1999-07,2957.545,
1999-10,2743.445,
2000-01,2583.931,
2000-04,3584.675,
2000-07,3285.269,
2000-10,5538.337,
2001-01,792.393,
2001-04,2471.401,
2001-07,996.192,
2001-10,1524.421,
2002-01,594.967,
2002-04,524.889,
2002-07,1038.905,
2002-10,3701.326,
2003-01,5594.220,
2003-04,3579.071,
2003-07,845.548,
2003-10,764.316,
2004-01,-283.938,
2004-04,-86.650,
2004-07,-1423.779,
2004-10,-609.359,
2005-01,943.716,
2005-04,231.899,
2005-07,2790.756,
2005-10,438.511,
2006-01,5546.379,
2006-04,249.959,
2006-07,212.863,
2006-10,-3400.441,
2007-01,-1250.166,
2007-04,1633.684,
2007-07,3985.194,
2007-10,1236.495,
2008-01,6398.193,
2008-04,3521.663,
2008-07,11167.526,
2008-10,6505.193,
2009-01,2907.704,
2009-04,879.658,
2009-07,-3492.489,
2009-10,-12052.766,
2010-01,833.246,
2010-04,1110.451,
2010-07,-6856.132,
2010-10,5660.506,
2011-01,-2248.770,
2011-04,-796.038,
2011-07,-1958.505,
2011-10,3387.957,
2012-01,-2656.247,
2012-04,-3686.336,
2012-07,-2780.995,
2012-10,-4836.631,
2013-01,-1664.122,
2013-04,-2557.774,
2013-07,-2294.588,
2013-10,-1203.125,
2014-01,-475.926,Provisional value
2014-04,-2399.684,Provisional value
2014-07,-1005.470,Provisional value
2014-10,-1435.806,Provisional value
