"",BBK01.OEAH33S,BBK01.OEAH33S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:19,
2002-01,0.086,
2002-04,0.079,
2002-07,0.078,
2002-10,0.083,
2003-01,0.071,
2003-04,0.071,
2003-07,0.068,
2003-10,0.070,
2004-01,0.076,
2004-04,0.073,
2004-07,0.071,
2004-10,0.070,
2005-01,0.066,
2005-04,0.062,
2005-07,0.058,
2005-10,0.066,
2006-01,0.067,
2006-04,0.074,
2006-07,0.074,
2006-10,0.075,
2007-01,0.075,
2007-04,0.069,
2007-07,0.100,
2007-10,0.113,
2008-01,0.110,
2008-04,0.124,
2008-07,0.123,
2008-10,0.122,
2009-01,0.113,
2009-04,0.100,
2009-07,0.144,
2009-10,0.195,
2010-01,0.200,
2010-04,0.205,
2010-07,0.196,
2010-10,0.206,
2011-01,0.202,
2011-04,0.198,
2011-07,0.218,
2011-10,0.310,
2012-01,0.350,
2012-04,0.380,
2012-07,0.389,
2012-10,0.419,
2013-01,0.472,
2013-04,0.646,
2013-07,0.685,
2013-10,0.693,
2014-01,0.727,
2014-04,0.778,
2014-07,0.782,
