"",BBK01.OEAN06H,BBK01.OEAN06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:50,
2002-01,16.225,
2002-04,15.979,
2002-07,15.744,
2002-10,15.445,
2003-01,14.480,
2003-04,13.422,
2003-07,12.632,
2003-10,13.098,
2004-01,12.893,
2004-04,12.717,
2004-07,13.067,
2004-10,13.814,
2005-01,14.244,
2005-04,14.097,
2005-07,13.437,
2005-10,13.524,
2006-01,13.550,
2006-04,13.852,
2006-07,14.354,
2006-10,15.363,
2007-01,15.990,
2007-04,16.104,
2007-07,16.251,
2007-10,16.762,
2008-01,16.195,
2008-04,15.189,
2008-07,14.324,
2008-10,15.008,
2009-01,16.197,
2009-04,17.493,
2009-07,18.755,
2009-10,19.589,
2010-01,18.901,
2010-04,17.405,
2010-07,15.992,
2010-10,15.736,
2011-01,15.732,
2011-04,15.977,
2011-07,15.858,
2011-10,15.230,
2012-01,14.108,
2012-04,13.111,
2012-07,12.186,
2012-10,11.515,
2013-01,10.895,
2013-04,9.940,
2013-07,9.436,
2013-10,9.762,
2014-01,10.045,
2014-04,10.193,
2014-07,10.536,
