"",BBK01.RJ7453,BBK01.RJ7453_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:33:47,
1989,.,No value available
1990,.,No value available
1991,3,
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,-,Nothing exists
1998,.,No value available
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,.,No value available
