"",BBK01.OEXB06J,BBK01.OEXB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:19,
2002-01,0.797,
2002-04,0.768,
2002-07,0.826,
2002-10,0.805,
2003-01,0.783,
2003-04,0.726,
2003-07,0.752,
2003-10,0.718,
2004-01,0.713,
2004-04,0.678,
2004-07,0.682,
2004-10,0.631,
2005-01,0.665,
2005-04,0.674,
2005-07,0.729,
2005-10,0.734,
2006-01,0.771,
2006-04,0.763,
2006-07,0.761,
2006-10,0.756,
2007-01,0.717,
2007-04,0.699,
2007-07,0.697,
2007-10,0.754,
2008-01,0.769,
2008-04,0.786,
2008-07,0.852,
2008-10,0.799,
2009-01,0.812,
2009-04,0.759,
2009-07,0.750,
2009-10,0.795,
2010-01,0.772,
2010-04,0.812,
2010-07,0.880,
2010-10,0.925,
2011-01,0.911,
2011-04,0.946,
2011-07,1.006,
2011-10,1.048,
2012-01,1.051,
2012-04,1.107,
2012-07,1.170,
2012-10,1.223,
2013-01,1.189,
2013-04,1.203,
2013-07,1.213,
2013-10,1.383,
2014-01,1.372,
2014-04,1.396,
2014-07,1.324,
