"",BBFB1.Q.N.DE.O1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:34,
1991-01,131.577,
1991-04,107.447,
1991-07,95.846,
1991-10,129.016,
1992-01,191.424,
1992-04,170.954,
1992-07,211.335,
1992-10,243.434,
1993-01,287.973,
1993-04,224.793,
1993-07,282.805,
1993-10,381.739,
1994-01,224.577,
1994-04,368.303,
1994-07,364.326,
1994-10,456.212,
1995-01,422.021,
1995-04,147.566,
1995-07,208.512,
1995-10,416.045,
1996-01,380.632,
1996-04,438.751,
1996-07,464.771,
1996-10,499.634,
1997-01,423.955,
1997-04,494.852,
1997-07,496.566,
1997-10,543.842,
1998-01,524.450,
1998-04,491.684,
1998-07,515.454,
1998-10,490.474,
1999-01,493.397,
1999-04,473.411,
1999-07,564.180,
1999-10,708.897,
2000-01,528.561,
2000-04,517.791,
2000-07,539.678,
2000-10,538.424,
2001-01,570.318,
2001-04,587.795,
2001-07,694.431,
2001-10,1234.048,
2002-01,607.440,
2002-04,540.664,
2002-07,898.178,
2002-10,883.356,
2003-01,733.773,
2003-04,717.371,
2003-07,897.575,
2003-10,882.754,
2004-01,710.410,
2004-04,909.229,
2004-07,1025.108,
2004-10,960.575,
2005-01,1034.471,
2005-04,1058.245,
2005-07,1161.424,
2005-10,777.504,
2006-01,876.055,
2006-04,694.468,
2006-07,1118.550,
2006-10,1180.066,
2007-01,794.661,
2007-04,868.821,
2007-07,1271.971,
2007-10,1189.560,
2008-01,1378.796,
2008-04,1239.755,
2008-07,1266.393,
2008-10,1305.579,
2009-01,519.872,
2009-04,1039.425,
2009-07,1273.084,
2009-10,1366.100,
2010-01,1403.733,
2010-04,1337.132,
2010-07,1793.511,
2010-10,1452.277,
2011-01,1377.947,
2011-04,1491.556,
2011-07,1483.977,
2011-10,1468.394,
2012-01,1704.416,
2012-04,1660.858,
2012-07,1901.865,
2012-10,2854.938,
2013-01,1711.648,
2013-04,1579.427,
2013-07,1991.127,
2013-10,1957.345,
2014-01,1713.478,Provisional value
2014-04,1867.133,Provisional value
2014-07,2034.766,Provisional value
