"",BBK01.OEYB06P,BBK01.OEYB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:55,
2002-01,0.337,
2002-04,0.348,
2002-07,0.377,
2002-10,0.417,
2003-01,0.447,
2003-04,0.424,
2003-07,0.386,
2003-10,0.361,
2004-01,0.266,
2004-04,0.249,
2004-07,0.335,
2004-10,0.304,
2005-01,0.384,
2005-04,0.415,
2005-07,0.388,
2005-10,0.423,
2006-01,0.409,
2006-04,0.376,
2006-07,0.398,
2006-10,0.416,
2007-01,0.379,
2007-04,0.366,
2007-07,0.371,
2007-10,0.402,
2008-01,0.402,
2008-04,0.409,
2008-07,0.414,
2008-10,0.452,
2009-01,0.429,
2009-04,0.369,
2009-07,0.342,
2009-10,0.428,
2010-01,0.378,
2010-04,0.293,
2010-07,0.287,
2010-10,0.511,
2011-01,0.626,
2011-04,0.653,
2011-07,0.372,
2011-10,0.730,
2012-01,0.621,
2012-04,0.425,
2012-07,0.428,
2012-10,0.572,
2013-01,0.387,
2013-04,0.483,
2013-07,0.496,
2013-10,0.435,
2014-01,0.423,
2014-04,0.504,
2014-07,0.474,
