"",BBK01.OEHO05G,BBK01.OEHO05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:39,
2002-01,0.281,
2002-04,0.184,
2002-07,0.176,
2002-10,0.798,
2003-01,0.248,
2003-04,0.152,
2003-07,0.149,
2003-10,0.730,
2004-01,0.198,
2004-04,0.131,
2004-07,0.106,
2004-10,0.692,
2005-01,0.142,
2005-04,0.102,
2005-07,0.124,
2005-10,0.680,
2006-01,0.113,
2006-04,0.093,
2006-07,0.100,
2006-10,0.712,
2007-01,0.131,
2007-04,0.106,
2007-07,0.126,
2007-10,0.752,
2008-01,0.135,
2008-04,0.123,
2008-07,0.135,
2008-10,0.758,
2009-01,0.143,
2009-04,0.146,
2009-07,0.159,
2009-10,0.671,
2010-01,0.120,
2010-04,0.103,
2010-07,0.129,
2010-10,0.648,
2011-01,0.098,
2011-04,0.107,
2011-07,0.110,
2011-10,0.614,
2012-01,0.097,
2012-04,0.096,
2012-07,0.108,
2012-10,0.576,
2013-01,0.093,
2013-04,0.087,
2013-07,0.074,
2013-10,0.418,
2014-01,0.067,
2014-04,0.074,
2014-07,0.071,
