"",BBEX3.M.FJD.USD.CM.AC.A01,BBEX3.M.FJD.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Fiji / FJD 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:22,
1990-01,0.66660,
1990-02,0.66110,
1990-03,0.64880,
1990-04,0.64710,
1990-05,0.65980,
1990-06,0.66650,
1990-07,0.67780,
1990-08,0.69650,
1990-09,0.69820,
1990-10,0.69990,
1990-11,0.69670,
1990-12,0.68530,
1991-01,0.69590,
1991-02,0.69310,
1991-03,0.67320,
1991-04,0.67040,
1991-05,0.66820,
1991-06,0.66450,
1991-07,0.66930,
1991-08,0.67230,
1991-09,0.67860,
1991-10,0.67500,
1991-11,0.67930,
1991-12,0.67900,
1992-01,0.67010,
1992-02,0.66840,
1992-03,0.66790,
1992-04,0.66740,
1992-05,0.67090,
1992-06,0.67900,
1992-07,0.67800,
1992-08,0.67650,
1992-09,0.66520,
1992-10,0.64470,
1992-11,0.63620,
1992-12,0.63600,
1993-01,0.63430,
1993-02,0.63950,
1993-03,0.65070,
1993-04,0.66170,
1993-05,0.65880,
1993-06,0.64910,
1993-07,0.65300,
1993-08,0.65370,
1993-09,0.64710,
1993-10,0.64910,
1993-11,0.64490,
1993-12,0.64900,
1994-01,0.66340,
1994-02,0.67220,
1994-03,0.66460,
1994-04,0.67280,
1994-05,0.67920,
1994-06,0.68400,
1994-07,0.68820,
1994-08,0.69070,
1994-09,0.69390,
1994-10,0.70090,
1994-11,0.70340,
1994-12,0.70970,
1995-01,0.70770,
1995-02,0.70270,
1995-03,0.71320,
1995-04,0.72720,
1995-05,0.72390,
1995-06,0.72000,
1995-07,0.72220,
1995-08,0.70520,
1995-09,0.70790,
1995-10,0.70780,
1995-11,0.70150,
1995-12,0.69960,
1996-01,0.69560,
1996-02,0.70580,
1996-03,0.71010,
1996-04,0.71390,
1996-05,0.71420,
1996-06,0.71220,
1996-07,0.71320,
1996-08,0.71610,
1996-09,0.71560,
1996-10,0.71890,
1996-11,0.72850,
1996-12,0.72260,
1997-01,0.70250,
1997-02,0.70740,
1997-03,0.70890,
1997-04,0.70680,
1997-05,0.70790,
1997-06,0.70370,
1997-07,0.69270,
1997-08,0.68780,
1997-09,0.67940,
1997-10,0.67270,
1997-11,0.66270,
1997-12,0.64550,
1998-01,0.52400,comment
1998-02,0.52160,
1998-03,0.51490,
1998-04,0.51050,
1998-05,0.49630,
1998-06,0.49520,comment
1998-07,0.48800,
1998-08,0.47610,
1998-09,0.48890,
1998-10,0.50650,
1998-11,0.50560,
1998-12,0.50350,
1999-01,0.50790,
1999-02,0.50220,
1999-03,0.50040,
1999-04,0.51350,
1999-05,0.50510,
1999-06,0.50500,
1999-07,0.50870,
1999-08,0.50170,
1999-09,0.51050,
1999-10,0.50750,
1999-11,0.50410,
1999-12,0.50870,
2000-01,0.49490,
2000-02,0.48660,
2000-03,0.48950,
2000-04,0.47620,
2000-05,0.47050,
2000-06,0.48120,
2000-07,0.47130,
2000-08,0.46300,
2000-09,0.44960,
2000-10,0.43880,
2000-11,0.43870,
2000-12,0.45750,
2001-01,0.45500,
2001-02,0.44660,
2001-03,0.42860,
2001-04,0.43410,
2001-05,0.43490,
2001-06,0.42870,
2001-07,0.43150,
2001-08,0.44950,
2001-09,0.42840,
2001-10,0.43450,
2001-11,0.43680,
2001-12,0.43310,
2002-01,0.42940,
2002-02,0.43280,
2002-03,0.44060,
2002-04,0.44950,
2002-05,0.46630,
2002-06,0.47280,
2002-07,0.46260,
2002-08,0.46630,
2002-09,0.46210,
2002-10,0.46740,
2002-11,0.47280,
2002-12,0.48430,
2003-01,0.49810,
2003-02,0.50600,
2003-03,0.50210,
2003-04,0.51240,
2003-05,0.53200,
2003-06,0.53400,
2003-07,0.52860,
2003-08,0.52190,
2003-09,0.54280,
2003-10,0.55420,
2003-11,0.56590,
2003-12,0.58070,
2004-01,0.58660,
2004-02,0.59100,
2004-03,0.58070,
2004-04,0.56210,
2004-05,0.56500,
2004-06,0.55620,
2004-07,0.55790,
2004-08,0.56130,
2004-09,0.57100,
2004-10,0.58550,
2004-11,0.60700,
2004-12,0.60790,
2005-01,0.60110,
2005-02,0.60740,
2005-03,0.59780,
2005-04,0.60420,
2005-05,0.59270,
2005-06,0.58760,
2005-07,0.58480,
2005-08,0.58310,
2005-09,0.58500,
2005-10,0.58380,
2005-11,0.57750,
2005-12,0.57310,
2006-01,0.57880,
2006-02,0.57080,
2006-03,0.55750,
2006-04,0.57620,
2006-05,0.58140,
2006-06,0.56570,
2006-07,0.57750,
2006-08,0.58160,
2006-09,0.57850,
2006-10,0.58610,
2006-11,0.58960,comment
2006-12,0.59780,
2007-01,0.59200,
2007-02,0.60010,
2007-03,0.60670,
2007-04,0.61910,
2007-05,0.61250,
2007-06,0.62640,
2007-07,0.63090,
2007-08,0.61920,
2007-09,0.64660,
2007-10,0.66030,
2007-11,0.65600,
2007-12,0.65470,
2008-01,0.65590,
2008-02,0.67450,
2008-03,0.66820,
2008-04,0.66570,
2008-05,0.67460,
2008-06,0.67030,
2008-07,0.65910,
2008-08,0.62810,
2008-09,0.60880,
2008-10,0.56000,
2008-11,0.54760,
2008-12,0.56690,
2009-01,0.54090,
2009-02,0.53520,
2009-03,0.55530,
2009-04,0.45440,comment
2009-05,0.47440,
2009-06,0.48710,
2009-07,0.49050,
2009-08,0.50110,
2009-09,0.51330,
2009-10,0.52590,
2009-11,0.52470,
2009-12,0.51850,
2010-01,0.51590,
2010-02,0.51100,
2010-03,0.51850,
2010-04,0.52150,
2010-05,0.49700,
2010-06,0.50030,
2010-07,0.51780,
2010-08,0.51330,
2010-09,0.53550,
2010-10,0.54160,
2010-11,0.53390,
2010-12,0.54960,
2011-01,0.54530,
2011-02,0.54770,
2011-03,0.55380,
2011-04,0.57400,
2011-05,0.56990,
2011-06,0.57210,
2011-07,0.58550,
2011-08,0.57790,
2011-09,0.54480,
2011-10,0.57270,
2011-11,0.54700,
2011-12,0.54930,
2012-01,0.56680,
2012-02,0.57250,
2012-03,0.56100,
2012-04,0.56360,
2012-05,0.53610,
2012-06,0.54790,
2012-07,0.55980,
2012-08,0.55490,
2012-09,0.56460,
2012-10,0.56090,
2012-11,0.56150,
2012-12,0.55950,
2013-01,0.56260,
2013-02,0.55620,
2013-03,0.55990,
2013-04,0.55870,
2013-05,0.54000,
2013-06,0.52900,
2013-07,0.52760,
2013-08,0.52160,
2013-09,0.53750,
2013-10,0.54050,
2013-11,0.53020,
2013-12,0.52690,
2014-01,0.52340,
2014-02,0.53060,
2014-03,0.54050,
2014-04,0.53970,
2014-05,0.53940,
2014-06,0.54540,
2014-07,0.53920,
2014-08,0.53770,
2014-09,0.51540,
2014-10,0.51840,
2014-11,0.51170,
2014-12,0.50310,
2015-01,0.48590,
2015-02,0.48870,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since May 2013: Bank South Pacific, Suva2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva1990 - 2005: Westpac Banking Corporation, Suva",
"","Comment on 1998-01: On 20 January 1998, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  19 January 1998: FJD 1 = USD 0.6583 / 0.6413  20 January 1998: FJD 1 = USD 0.5291 / 0.5121  Calculated devaluation: 19.9% (middle rate).",
"",Comment on 1998-06: Exchange rate as of 1 July 1998.,
"",Comment on 2006-11: Exchange rate as of 24 November 2006.,
"","Comment on 2009-04: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = USD 0.5817 / 0.5647  15 April 2009: FJD 1 = USD 0.4643 / 0.4473  Calculated devaluation: 20.5% (middle rate).",
