"",BBK01.OEAA56M,BBK01.OEAA56M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:00,
2002-01,0.017,
2002-04,0.017,
2002-07,0.018,
2002-10,0.018,
2003-01,0.018,
2003-04,0.017,
2003-07,0.017,
2003-10,0.018,
2004-01,0.017,
2004-04,0.021,
2004-07,0.031,
2004-10,0.029,
2005-01,0.030,
2005-04,0.030,
2005-07,0.029,
2005-10,0.028,
2006-01,0.029,
2006-04,0.030,
2006-07,0.029,
2006-10,0.028,
2007-01,0.029,
2007-04,0.029,
2007-07,0.028,
2007-10,0.029,
2008-01,0.024,
2008-04,0.023,
2008-07,0.022,
2008-10,0.021,
2009-01,0.020,
2009-04,0.019,
2009-07,0.017,
2009-10,0.017,
2010-01,0.018,
2010-04,0.017,
2010-07,0.015,
2010-10,0.015,
2011-01,0.013,
2011-04,0.013,
2011-07,0.011,
2011-10,0.010,
2012-01,0.008,
2012-04,0.008,
2012-07,0.007,
2012-10,0.006,
2013-01,0.006,
2013-04,0.005,
2013-07,0.006,
2013-10,0.005,
2014-01,0.004,
2014-04,0.004,
2014-07,0.004,
