"",BBK01.TYI310,BBK01.TYI310_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / Total / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:49,
1980-01,-4229,
1980-02,6018,
1980-03,5242,
1980-04,6799,
1980-05,5581,
1980-06,7416,
1980-07,2489,
1980-08,3578,
1980-09,5076,
1980-10,7118,
1980-11,13998,
1980-12,11729,
1981-01,-933,
1981-02,7991,
1981-03,4037,
1981-04,4375,
1981-05,3814,
1981-06,10286,
1981-07,5605,
1981-08,4712,
1981-09,6433,
1981-10,5984,
1981-11,8326,
1981-12,11894,
1982-01,513,
1982-02,1483,
1982-03,3597,
1982-04,1943,
1982-05,1496,
1982-06,7958,
1982-07,5086,
1982-08,2116,
1982-09,6541,
1982-10,7378,
1982-11,3808,
1982-12,14647,
1983-01,-3220,
1983-02,1768,
1983-03,5201,
1983-04,1348,
1983-05,6124,
1983-06,8891,
1983-07,2850,
1983-08,4679,
1983-09,6145,
1983-10,5967,
1983-11,7239,
1983-12,13530,
1984-01,-5911,
1984-02,1383,
1984-03,3608,
1984-04,3813,
1984-05,4179,
1984-06,7247,
1984-07,4333,
1984-08,4746,
1984-09,8463,
1984-10,4685,
1984-11,9296,
1984-12,11310,
1985-01,-521,
1985-02,5848,
1985-03,5851,
1985-04,1125,
1985-05,2991,
1985-06,6167,
1985-07,20,
1985-08,1279,
1985-09,5202,
1985-10,6476,
1985-11,7620,
1985-12,9774,
1986-01,-3377,
1986-02,-318,
1986-03,4899,
1986-04,1839,
1986-05,4633,
1986-06,7140,
1986-07,2920,
1986-08,1532,
1986-09,4119,
1986-10,4963,
1986-11,5611,
1986-12,7908,
1987-01,-3896,
1987-02,-1523,
1987-03,1860,
1987-04,167,
1987-05,3158,
1987-06,5835,
1987-07,5012,
1987-08,5638,
1987-09,7710,
1987-10,9036,
1987-11,3284,
1987-12,7649,
1988-01,-790,
1988-02,1478,
1988-03,6187,
1988-04,1662,
1988-05,5114,
1988-06,11977,
1988-07,4719,
1988-08,5446,
1988-09,7845,
1988-10,4058,
1988-11,10615,
1988-12,9486,
1989-01,2563,
1989-02,4169,
1989-03,3890,
1989-04,3167,
1989-05,4767,
1989-06,8647,
1989-07,1997,
1989-08,3691,
1989-09,9893,
1989-10,4737,
1989-11,12099,
1989-12,16145,
1990-01,4093,
1990-02,8250,
1990-03,8661,
1990-04,4397,
1990-05,4872,
1990-06,8474,
1990-07,5445,
1990-08,12941,
1990-09,18247,
1990-10,10883,
1990-11,9831,
1990-12,25528,
1991-01,268,
1991-02,7741,
1991-03,18462,
1991-04,8039,
1991-05,12766,
1991-06,17491,
1991-07,10353,
1991-08,8812,
1991-09,11308,
1991-10,15283,
1991-11,18025,
1991-12,26409,
1992-01,9552,
1992-02,8331,
1992-03,11633,
1992-04,16028,
1992-05,8358,
1992-06,20237,
1992-07,8911,
1992-08,8901,
1992-09,4689,
1992-10,19768,
1992-11,19539,
1992-12,25989,
1993-01,3480,
1993-02,10112,
1993-03,16438,
1993-04,7489,
1993-05,14259,
1993-06,15853,
1993-07,10068,
1993-08,4906,
1993-09,21994,
1993-10,23395,
1993-11,15538,
1993-12,36132,
1994-01,4531,
1994-02,8694,
1994-03,19365,
1994-04,9386,
1994-05,8908,
1994-06,17769,
1994-07,14508,
1994-08,8186,
1994-09,15045,
1994-10,15565,
1994-11,20998,
1994-12,23166,
1995-01,-3838,
1995-02,14739,
1995-03,8072,
1995-04,9408,
1995-05,12003,
1995-06,12813,
1995-07,12112,
1995-08,11783,
1995-09,17709,
1995-10,20310,
1995-11,23561,
1995-12,24408,
1996-01,13327,
1996-02,15043,
1996-03,17815,
1996-04,18168,
1996-05,6759,
1996-06,8967,
1996-07,7256,
1996-08,7743,
1996-09,9286,
1996-10,23469,
1996-11,27301,
1996-12,29679,
1997-01,7002,
1997-02,18713,
1997-03,19398,
1997-04,9791,
1997-05,14058,
1997-06,7849,
1997-07,20276,
1997-08,13994,
1997-09,5604,
1997-10,19329,
1997-11,19156,
1997-12,10433,
1998-01,16130,
1998-02,18940,
1998-03,27681,
1998-04,23035,
1998-05,12558,
1998-06,10604,
1998-07,5776,
1998-08,9424,
1998-09,7264,
1998-10,24724,
1998-11,27966,
1998-12,41138,
1999-01,20521,
1999-02,11649,
1999-03,30173,
1999-04,15571,
1999-05,27586,
1999-06,-3354,
1999-07,7762,
1999-08,4393,
1999-09,23854,
1999-10,27226,
1999-11,23071,
1999-12,18190,
2000-01,17680,
2000-02,15151,
2000-03,38577,
2000-04,14954,
2000-05,13561,
2000-06,-32092,
2000-07,1157,
2000-08,8658,
2000-09,6281,
2000-10,11848,
2000-11,15446,
2000-12,12023,
2001-01,2203,
2001-02,15617,
2001-03,25973,
2001-04,2713,
2001-05,7442,
2001-06,-26452,
2001-07,4479,
2001-08,-5251,
2001-09,-6170,
2001-10,-211,
2001-11,15713,
2001-12,18913,
2002-01,-7339,
2002-02,1772,
2002-03,-1013,
2002-04,10939,
2002-05,6565,
2002-06,-19846,
2002-07,7156,
2002-08,-1732,
2002-09,12012,
2002-10,4634,
2002-11,9412,
2002-12,10382,
2003-01,18266,
2003-02,712,
2003-03,4599,
2003-04,4923,
2003-05,1931,
2003-06,-18013,
2003-07,600,
2003-08,-13553,
2003-09,17674,
2003-10,-1805,
2003-11,24867,
2003-12,-10146,
2004-01,-588,
2004-02,16619,
2004-03,28707,
2004-04,10740,
2004-05,-10411,
2004-06,-9169,
2004-07,6384,
2004-08,-7357,
2004-09,5353,
2004-10,11718,
2004-11,6040,
2004-12,-14034,
2005-01,20893,
2005-02,-2175,
2005-03,8462,
2005-04,63216,
2005-05,-21683,
2005-06,-27714,
2005-07,3916,
2005-08,2828,
2005-09,5138,
2005-10,10320,
2005-11,4168,
2005-12,-7649,
2006-01,38320,
2006-02,176,
2006-03,18966,
2006-04,44755,
2006-05,-3656,
2006-06,-31339,
2006-07,-6871,
2006-08,-4285,
2006-09,23703,
2006-10,4195,
2006-11,12684,
2006-12,-40667,
2007-01,36284,
2007-02,-7002,
2007-03,10392,
2007-04,32574,
2007-05,-13888,
2007-06,-27468,
2007-07,7202,
2007-08,-3883,
2007-09,10353,
2007-10,5633,
2007-11,-1911,
2007-12,5838,
2008-01,35906,
2008-02,-7839,
2008-03,43994,
2008-04,49882,
2008-05,-12847,
2008-06,-16934,
2008-07,10102,
2008-08,25668,
2008-09,1259,
2008-10,-9747,
2008-11,7385,
2008-12,13545,
2009-01,36199,
2009-02,-9051,
2009-03,9194,
2009-04,20121,
2009-05,-3237,
2009-06,15826,
2009-07,-8533,
2009-08,-27535,
2009-09,22306,
2009-10,-132,
2009-11,-358,
2009-12,-37407,
2010-01,16559,
2010-02,-12836,
2010-03,-2547,
2010-04,54704,
2010-05,-36420,
2010-06,15058,
2010-07,-2913,
2010-08,8711,
2010-09,-16118,
2010-10,119762,
2010-11,40602,
2010-12,-71967,
2011-01,30089,
2011-02,-795,
2011-03,-29545,
2011-04,29051,
2011-05,-25986,
2011-06,-23328,
2011-07,-970,
2011-08,15305,
2011-09,12670,
2011-10,29338,
2011-11,3719,
2011-12,-54358,
2012-01,36820,
2012-02,-3101,
2012-03,2082,
2012-04,17988,
2012-05,-33686,
2012-06,10118,
2012-07,29796,
2012-08,-4052,
2012-09,7330,
2012-10,18700,
2012-11,-5240,
2012-12,-50450,
2013-01,34931,
2013-02,-8686,
2013-03,-2353,
2013-04,26348,
2013-05,-22864,
2013-06,156,
2013-07,-2966,
2013-08,-13533,
2013-09,-3682,
2013-10,9431,
2013-11,5042,
2013-12,-16955,
2014-01,15172,
2014-02,-3110,
2014-03,4148,
2014-04,21316,
2014-05,-2333,
2014-06,-7225,
2014-07,10271,
2014-08,-6397,
2014-09,10178,
2014-10,5276,
2014-11,14121,
2014-12,-15597,
2015-01,26391,
