"",BBK01.CEB5N0,BBK01.CEB5N0_FLAGS
"",Shares and other equity debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:59,
1991-01,160.8,
1991-04,163.3,
1991-07,179.9,
1991-10,169.4,
1992-01,177.5,
1992-04,187.5,
1992-07,194.7,
1992-10,214.4,
1993-01,234.2,
1993-04,246.7,
1993-07,257.4,
1993-10,254.7,
1994-01,259.6,
1994-04,258.2,
1994-07,270.0,
1994-10,282.7,
1995-01,288.9,
1995-04,297.1,
1995-07,300.2,
1995-10,306.3,
1996-01,319.2,
1996-04,325.7,
1996-07,344.0,
1996-10,361.0,
1997-01,390.7,
1997-04,421.1,
1997-07,472.7,
1997-10,472.4,
1998-01,552.7,
1998-04,577.8,
1998-07,552.2,
1998-10,604.1,
1999-01,683.1,
1999-04,740.1,
1999-07,757.6,
1999-10,882.1,
2000-01,947.0,
2000-04,995.4,
2000-07,1067.0,
2000-10,1104.3,
2001-01,1001.8,
2001-04,1077.7,
2001-07,994.4,
2001-10,1115.0,
2002-01,1136.1,
2002-04,1064.0,
2002-07,942.9,
2002-10,904.2,
2003-01,842.3,
2003-04,877.1,
2003-07,891.3,
2003-10,953.3,
2004-01,924.4,
2004-04,953.8,
2004-07,963.4,
2004-10,998.0,
2005-01,1049.0,
2005-04,1109.0,
2005-07,1170.8,
2005-10,1293.3,
2006-01,1394.2,
2006-04,1336.0,
2006-07,1393.1,
2006-10,1439.7,
2007-01,1473.9,
2007-04,1535.0,
2007-07,1524.8,
2007-10,1520.4,
2008-01,1449.2,
2008-04,1446.8,
2008-07,1423.9,
2008-10,1273.3,
2009-01,1261.9,
2009-04,1317.1,
2009-07,1371.6,
2009-10,1389.2,
2010-01,1453.8,
2010-04,1489.1,
2010-07,1487.2,
2010-10,1543.4,
2011-01,1539.5,
2011-04,1550.3,
2011-07,1502.5,
2011-10,1543.2,
2012-01,1591.9,
2012-04,1594.2,
2012-07,1641.2,
2012-10,1684.9,
2013-01,1752.1,
2013-04,1743.4,
2013-07,1790.5,
2013-10,1815.8,
2014-01,1852.5,
