"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:43,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,73.277,
1993-04,108.581,
1993-07,57.707,
1993-10,67.566,
1994-01,43.254,
1994-04,98.350,
1994-07,94.328,
1994-10,306.945,
1995-01,129.859,
1995-04,172.893,
1995-07,114.606,
1995-10,373.215,
1996-01,155.863,
1996-04,105.328,
1996-07,102.281,
1996-10,228.973,
1997-01,98.008,
1997-04,126.866,
1997-07,39.313,
1997-10,323.314,
1998-01,139.415,
1998-04,322.895,
1998-07,330.570,
1998-10,29.328,
1999-01,135.352,
1999-04,133.853,
1999-07,138.687,
1999-10,399.749,
2000-01,205.462,
2000-04,574.278,
2000-07,409.093,
2000-10,94.027,
2001-01,179.833,
2001-04,335.510,
2001-07,164.045,
2001-10,-129.684,
2002-01,138.938,
2002-04,4397.815,
2002-07,49.464,
2002-10,-4092.432,
2003-01,-650.322,
2003-04,34.946,
2003-07,141.735,
2003-10,73.743,
2004-01,320.632,
2004-04,484.191,
2004-07,88.908,
2004-10,157.831,
2005-01,489.383,
2005-04,936.539,
2005-07,188.542,
2005-10,197.477,
2006-01,576.142,
2006-04,412.772,
2006-07,465.007,
2006-10,366.924,
2007-01,645.642,
2007-04,476.964,
2007-07,-347.924,
2007-10,332.656,
2008-01,112.606,
2008-04,385.831,
2008-07,472.715,
2008-10,-33.369,
2009-01,464.755,
2009-04,126.638,
2009-07,-92.217,
2009-10,-164.796,
2010-01,671.568,
2010-04,-104.448,
2010-07,794.519,
2010-10,389.609,
2011-01,452.667,
2011-04,163.916,
2011-07,395.695,
2011-10,-143.797,
2012-01,455.167,
2012-04,-662.905,
2012-07,371.093,
2012-10,-94.094,
2013-01,446.302,
2013-04,-227.469,
2013-07,-399.316,
2013-10,115.829,
2014-01,113.394,Provisional value
2014-04,74.782,Provisional value
2014-07,420.131,Provisional value
2014-10,-82.213,Provisional value
