"",BBK01.OEXJ02N,BBK01.OEXJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:31,
2002-01,8.313,
2002-04,8.328,
2002-07,8.720,
2002-10,10.170,
2003-01,11.302,
2003-04,9.677,
2003-07,9.952,
2003-10,12.038,
2004-01,13.032,
2004-04,11.066,
2004-07,10.697,
2004-10,7.208,
2005-01,8.055,
2005-04,10.039,
2005-07,8.682,
2005-10,9.359,
2006-01,9.016,
2006-04,9.524,
2006-07,8.868,
2006-10,9.119,
2007-01,9.697,
2007-04,9.950,
2007-07,9.755,
2007-10,8.951,
2008-01,9.819,
2008-04,9.645,
2008-07,10.736,
2008-10,9.595,
2009-01,10.897,
2009-04,9.984,
2009-07,9.653,
2009-10,9.425,
2010-01,10.444,
2010-04,9.864,
2010-07,10.237,
2010-10,10.012,
2011-01,10.862,
2011-04,11.317,
2011-07,11.457,
2011-10,11.899,
2012-01,12.384,
2012-04,13.220,
2012-07,13.035,
2012-10,13.106,
2013-01,14.007,
2013-04,15.881,
2013-07,15.703,
2013-10,14.793,
2014-01,16.095,
2014-04,15.077,
2014-07,16.814,
