"",BBSF2.M.1.S.00000.GEF01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:37,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,50,
2005-09,51,
2005-10,75,
2005-11,143,
2005-12,171,
2006-01,371,
2006-02,374,
2006-03,373,
2006-04,372,
2006-05,368,
2006-06,367,
2006-07,373,
2006-08,377,
2006-09,380,
2006-10,383,
2006-11,384,
2006-12,387,
2007-01,389,
2007-02,390,
2007-03,391,
2007-04,396,
2007-05,399,
2007-06,398,
2007-07,400,
2007-08,399,
2007-09,402,
2007-10,711,
2007-11,726,
2007-12,685,
2008-01,561,
2008-02,564,
2008-03,554,
2008-04,567,
2008-05,752,
2008-06,749,
2008-07,941,
2008-08,1204,
2008-09,1139,
2008-10,1039,
2008-11,806,
2008-12,836,
2009-01,822,
2009-02,818,
2009-03,833,
2009-04,1987,
2009-05,3894,
2009-06,2336,
2009-07,2351,
2009-08,2461,
2009-09,2889,
2009-10,2873,
2009-11,2881,
2009-12,2969,
2010-01,3148,
2010-02,3214,
2010-03,3354,
2010-04,3352,
2010-05,3339,
2010-06,3305,
2010-07,3359,
2010-08,3387,
2010-09,3415,
2010-10,3411,
2010-11,3512,
2010-12,3546,
2011-01,3728,
2011-02,3774,
2011-03,3725,
2011-04,3753,
2011-05,3800,
2011-06,3741,
2011-07,3760,
2011-08,3459,
2011-09,3402,
2011-10,3419,
2011-11,3390,
2011-12,4387,
2012-01,3625,
2012-02,3690,
2012-03,3756,
2012-04,3744,
2012-05,3711,
2012-06,3637,
2012-07,3752,
2012-08,3810,
2012-09,3854,
2012-10,3837,
2012-11,3866,
2012-12,3183,
2013-01,3157,
2013-02,3190,
2013-03,3252,
2013-04,3304,
2013-05,3442,
2013-06,3362,
2013-07,3819,
2013-08,3818,
2013-09,3760,
2013-10,3831,
2013-11,3856,
2013-12,3791,
2014-01,3800,
2014-02,3857,
2014-03,3879,
2014-04,4004,
2014-05,4513,
2014-06,4551,
2014-07,4545,
2014-08,3826,
2014-09,4558,
2014-10,5649,
2014-11,6401,
