"",BBK01.OEHM01K,BBK01.OEHM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:25,
2002-01,3.059,
2002-04,3.273,
2002-07,2.357,
2002-10,2.978,
2003-01,1.950,
2003-04,1.773,
2003-07,1.926,
2003-10,1.975,
2004-01,1.619,
2004-04,1.744,
2004-07,1.600,
2004-10,2.339,
2005-01,1.374,
2005-04,0.928,
2005-07,0.772,
2005-10,0.680,
2006-01,1.254,
2006-04,1.584,
2006-07,1.619,
2006-10,1.527,
2007-01,1.087,
2007-04,1.171,
2007-07,1.082,
2007-10,1.376,
2008-01,0.890,
2008-04,2.055,
2008-07,1.873,
2008-10,1.580,
2009-01,0.951,
2009-04,1.285,
2009-07,1.419,
2009-10,1.602,
2010-01,1.250,
2010-04,1.286,
2010-07,1.200,
2010-10,1.048,
2011-01,1.059,
2011-04,1.061,
2011-07,1.068,
2011-10,0.759,
2012-01,0.685,
2012-04,0.680,
2012-07,0.417,
2012-10,0.317,
2013-01,0.380,
2013-04,0.404,
2013-07,0.413,
2013-10,0.334,
2014-01,0.356,
2014-04,0.452,
2014-07,0.426,
