"",BBK01.OELB17O,BBK01.OELB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:34,
2002-01,14.570,
2002-04,14.689,
2002-07,14.804,
2002-10,14.780,
2003-01,14.741,
2003-04,14.827,
2003-07,14.951,
2003-10,15.119,
2004-01,15.142,
2004-04,15.273,
2004-07,15.434,
2004-10,15.577,
2005-01,15.487,
2005-04,15.535,
2005-07,15.678,
2005-10,15.734,
2006-01,15.770,
2006-04,15.892,
2006-07,15.994,
2006-10,15.896,
2007-01,15.904,
2007-04,15.905,
2007-07,16.005,
2007-10,15.644,
2008-01,15.594,
2008-04,15.686,
2008-07,15.778,
2008-10,15.770,
2009-01,15.693,
2009-04,15.678,
2009-07,15.799,
2009-10,15.830,
2010-01,15.737,
2010-04,15.863,
2010-07,16.012,
2010-10,16.097,
2011-01,16.202,
2011-04,16.416,
2011-07,16.685,
2011-10,16.839,
2012-01,16.960,
2012-04,17.223,
2012-07,17.419,
2012-10,17.561,
2013-01,17.645,
2013-04,17.829,
2013-07,18.121,
2013-10,18.242,
2014-01,18.552,
2014-04,18.721,
2014-07,18.965,
