"",BBFN1.M.DE.N.1.L.TN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:09,
1994-07,0.039,
1994-08,0.043,
1994-09,0.049,
1994-10,0.053,
1994-11,0.051,
1994-12,0.053,
1995-01,0.049,
1995-02,0.046,
1995-03,0.045,
1995-04,0.046,
1995-05,0.048,
1995-06,0.052,
1995-07,0.048,
1995-08,0.046,
1995-09,0.045,
1995-10,0.042,
1995-11,0.049,
1995-12,0.048,
1996-01,0.049,
1996-02,0.049,
1996-03,0.050,
1996-04,0.055,
1996-05,0.055,
1996-06,0.054,
1996-07,0.057,
1996-08,0.056,
1996-09,0.058,
1996-10,0.063,
1996-11,0.067,
1996-12,0.062,
1997-01,0.066,
1997-02,0.067,
1997-03,0.072,
1997-04,0.075,
1997-05,0.077,
1997-06,0.079,
1997-07,0.069,
1997-08,0.075,
1997-09,0.054,
1997-10,0.059,
1997-11,0.059,
1997-12,0.059,
1998-01,0.056,
1998-02,0.063,
1998-03,0.063,
1998-04,0.064,
1998-05,0.061,
1998-06,0.059,
1998-07,0.051,
1998-08,0.051,
1998-09,0.056,
1998-10,0.063,
1998-11,0.057,
1998-12,0.057,
1999-01,0.048,
1999-02,0.054,
1999-03,0.053,
1999-04,0.049,
1999-05,0.061,
1999-06,0.058,
1999-07,0.062,
1999-08,0.059,
1999-09,0.058,
1999-10,0.059,
1999-11,0.059,
1999-12,0.059,
2000-01,0.059,
2000-02,0.060,
2000-03,0.058,
2000-04,0.066,
2000-05,0.066,
2000-06,0.061,
2000-07,0.067,
2000-08,0.067,
2000-09,0.070,
2000-10,0.071,
2000-11,0.073,
2000-12,0.077,
2001-01,0.079,
2001-02,0.096,
2001-03,0.098,
2001-04,0.108,
2001-05,0.106,
2001-06,0.113,
2001-07,0.101,
2001-08,0.110,
2001-09,0.099,
2001-10,0.100,
2001-11,0.096,
2001-12,0.097,
2002-01,0.097,
2002-02,0.103,
2002-03,0.092,
2002-04,0.100,
2002-05,0.097,
2002-06,0.124,
2002-07,0.120,
2002-08,0.097,
2002-09,0.126,
2002-10,0.143,
2002-11,0.136,
2002-12,0.113,
2003-01,0.150,
2003-02,0.139,
2003-03,0.129,
2003-04,0.131,
2003-05,0.119,
2003-06,0.115,
2003-07,0.119,
2003-08,0.126,
2003-09,0.122,
2003-10,0.130,
2003-11,0.112,
2003-12,0.112,
2004-01,0.110,
2004-02,0.112,
2004-03,0.119,
2004-04,0.113,
2004-05,0.120,
2004-06,0.118,
2004-07,0.111,
2004-08,0.123,
2004-09,0.146,
2004-10,0.149,
2004-11,0.104,
2004-12,0.107,
2005-01,0.105,
2005-02,0.098,
2005-03,0.090,
2005-04,0.090,
2005-05,0.087,
2005-06,0.154,
2005-07,0.086,
2005-08,0.087,
2005-09,0.090,
2005-10,0.092,
2005-11,0.085,
2005-12,0.086,
2006-01,0.085,
2006-02,0.091,
2006-03,0.095,
2006-04,0.092,
2006-05,0.101,
2006-06,0.093,
2006-07,0.097,
2006-08,0.094,
2006-09,0.098,
2006-10,0.094,
2006-11,0.103,
2006-12,0.108,
2007-01,0.114,
2007-02,0.101,
2007-03,0.103,
2007-04,0.108,
2007-05,0.103,
2007-06,0.101,
2007-07,0.109,
2007-08,0.110,
2007-09,0.112,
2007-10,0.115,
2007-11,0.111,
2007-12,0.107,
2008-01,0.109,
2008-02,0.111,
2008-03,0.111,
2008-04,0.112,
2008-05,0.117,
2008-06,0.123,
2008-07,0.126,
2008-08,0.118,
2008-09,0.124,
2008-10,0.115,
2008-11,0.116,
2008-12,0.110,
2009-01,0.086,
2009-02,0.085,
2009-03,0.079,
2009-04,0.094,
2009-05,0.088,
2009-06,0.099,
2009-07,0.093,
2009-08,0.095,
2009-09,0.100,
2009-10,0.107,
2009-11,0.095,
2009-12,0.085,
2010-01,0.090,
2010-02,0.089,
2010-03,0.096,
2010-04,0.096,
2010-05,0.099,
2010-06,0.103,
2010-07,0.110,
2010-08,0.112,
2010-09,0.124,
2010-10,0.126,
2010-11,0.128,
2010-12,0.129,
2011-01,0.132,
2011-02,0.123,
2011-03,0.132,
2011-04,0.134,
2011-05,0.144,
2011-06,0.136,
2011-07,0.138,
2011-08,0.131,
2011-09,0.139,
2011-10,0.139,
2011-11,0.139,
2011-12,0.151,
2012-01,0.136,
2012-02,0.152,
2012-03,0.187,
2012-04,0.145,
2012-05,0.147,
2012-06,0.152,
2012-07,0.154,
2012-08,0.150,
2012-09,0.148,
2012-10,0.143,
2012-11,0.161,
2012-12,0.160,
2013-01,0.160,
2013-02,0.169,
2013-03,0.165,
2013-04,0.170,
2013-05,0.170,
2013-06,0.190,
2013-07,0.176,
2013-08,0.176,
2013-09,0.187,
2013-10,0.124,
2013-11,0.116,
2013-12,0.121,
2014-01,0.120,
2014-02,0.130,
2014-03,0.146,
2014-04,0.144,
2014-05,0.154,
2014-06,0.180,
2014-07,0.186,
2014-08,0.168,
2014-09,0.179,
2014-10,0.167,
2014-11,0.155,
2014-12,0.149,
