"",BBK01.OEXI04L,BBK01.OEXI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:49,
2002-01,16.559,
2002-04,14.136,
2002-07,14.075,
2002-10,16.760,
2003-01,12.496,
2003-04,12.385,
2003-07,12.352,
2003-10,14.122,
2004-01,14.184,
2004-04,14.433,
2004-07,14.310,
2004-10,16.957,
2005-01,16.091,
2005-04,17.438,
2005-07,25.422,
2005-10,16.617,
2006-01,18.788,
2006-04,18.525,
2006-07,29.821,
2006-10,25.643,
2007-01,31.930,
2007-04,37.858,
2007-07,44.223,
2007-10,45.714,
2008-01,51.787,
2008-04,55.940,
2008-07,65.728,
2008-10,60.553,
2009-01,53.048,
2009-04,53.983,
2009-07,46.991,
2009-10,45.944,
2010-01,45.531,
2010-04,45.018,
2010-07,45.284,
2010-10,47.801,
2011-01,44.574,
2011-04,46.031,
2011-07,44.017,
2011-10,50.562,
2012-01,50.729,
2012-04,54.760,
2012-07,50.716,
2012-10,50.838,
2013-01,49.164,
2013-04,48.983,
2013-07,41.047,
2013-10,41.983,
2014-01,44.464,
2014-04,44.072,
2014-07,44.901,
