"",BBK01.TQ7005J,BBK01.TQ7005J_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Nonresidents             FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:24,
2005-10,24.82,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,27.43,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,28.89,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,28.82,
2009-01,28.06,
2009-04,27.66,
2009-07,26.77,
2009-10,27.13,
2010-01,27.07,
2010-04,27.34,
2010-07,26.75,
2010-10,25.07,
2011-01,24.50,
2011-04,24.93,
2011-07,24.98,
2011-10,24.29,
2012-01,23.45,
2012-04,23.12,
2012-07,23.58,
2012-10,23.23,
2013-01,23.59,
2013-04,23.59,
2013-07,23.06,
2013-10,23.19,
2014-01,23.75,
2014-04,24.58,
2014-07,25.02,
