"",BBK01.OEGI10I,BBK01.OEGI10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:10,
2002-01,0.082,
2002-04,0.081,
2002-07,0.082,
2002-10,0.083,
2003-01,0.082,
2003-04,0.080,
2003-07,0.082,
2003-10,0.084,
2004-01,0.083,
2004-04,0.081,
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,-,Nothing exists
2005-10,-,Nothing exists
2006-01,0.047,
2006-04,0.403,
2006-07,0.440,
2006-10,0.434,
2007-01,0.427,
2007-04,0.380,
2007-07,0.332,
2007-10,0.329,
2008-01,0.265,
2008-04,0.222,
2008-07,0.202,
2008-10,0.201,
2009-01,0.099,
2009-04,0.088,
2009-07,0.084,
2009-10,0.083,
2010-01,0.062,
2010-04,0.053,
2010-07,0.051,
2010-10,0.050,
2011-01,0.035,
2011-04,0.027,
2011-07,0.022,
2011-10,0.021,
2012-01,0.010,
2012-04,0.004,
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
