"",BBK01.OEHB08G,BBK01.OEHB08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:05,
2002-01,67.419,
2002-04,67.517,
2002-07,67.736,
2002-10,68.018,
2003-01,68.171,
2003-04,68.763,
2003-07,69.619,
2003-10,70.296,
2004-01,70.195,
2004-04,70.479,
2004-07,70.977,
2004-10,71.359,
2005-01,71.092,
2005-04,71.395,
2005-07,72.147,
2005-10,72.935,
2006-01,73.099,
2006-04,73.845,
2006-07,74.445,
2006-10,75.183,
2007-01,75.136,
2007-04,75.506,
2007-07,76.105,
2007-10,76.517,
2008-01,76.506,
2008-04,77.094,
2008-07,78.072,
2008-10,78.393,
2009-01,77.714,
2009-04,78.090,
2009-07,78.837,
2009-10,79.622,
2010-01,79.290,
2010-04,80.217,
2010-07,80.995,
2010-10,82.002,
2011-01,81.813,
2011-04,82.487,
2011-07,83.347,
2011-10,84.505,
2012-01,84.638,
2012-04,85.172,
2012-07,86.267,
2012-10,87.245,
2013-01,86.897,
2013-04,87.557,
2013-07,88.706,
2013-10,89.475,
2014-01,89.664,
2014-04,90.559,
2014-07,91.547,
