"",BBDE1.Q.DE.Y.LCA1.N2F000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.N2F000000.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Section F - Construction / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:09,
1996-01,85.839,
1996-04,84.848,
1996-07,86.098,
1996-10,90.447,
1997-01,87.872,
1997-04,83.966,
1997-07,86.154,
1997-10,87.566,
1998-01,84.683,
1998-04,86.341,
1998-07,86.555,
1998-10,85.972,
1999-01,85.768,
1999-04,86.317,
1999-07,86.348,
1999-10,85.878,
2000-01,86.649,
2000-04,88.755,
2000-07,89.729,
2000-10,90.212,
2001-01,89.053,
2001-04,91.177,
2001-07,91.409,
2001-10,91.414,
2002-01,92.917,
2002-04,92.485,
2002-07,93.114,
2002-10,93.480,
2003-01,95.205,
2003-04,96.302,
2003-07,94.609,
2003-10,94.392,
2004-01,95.252,
2004-04,95.348,
2004-07,95.370,
2004-10,92.252,
2005-01,96.665,
2005-04,95.423,
2005-07,95.873,
2005-10,94.379,
2006-01,96.555,
2006-04,94.544,
2006-07,93.903,
2006-10,95.760,
2007-01,94.668,
2007-04,95.649,
2007-07,97.614,
2007-10,98.855,
2008-01,99.226,
2008-04,97.545,
2008-07,100.311,
2008-10,102.918,
2009-01,103.938,
2009-04,103.651,
2009-07,103.143,
2009-10,103.834,
2010-01,105.180,
2010-04,104.310,
2010-07,104.339,
2010-10,104.842,
2011-01,105.430,
2011-04,107.150,
2011-07,107.464,
2011-10,108.910,
2012-01,108.704,
2012-04,110.506,
2012-07,111.292,
2012-10,112.050,
2013-01,112.198,
2013-04,110.141,
2013-07,109.999,
2013-10,112.250,
2014-01,112.154,
2014-04,111.344,
2014-07,111.638,
