"",BBK01.OEAL04K,BBK01.OEAL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:15,
2002-01,3.587,
2002-04,3.402,
2002-07,3.387,
2002-10,3.408,
2003-01,3.213,
2003-04,2.990,
2003-07,2.745,
2003-10,2.603,
2004-01,2.371,
2004-04,2.248,
2004-07,2.222,
2004-10,2.348,
2005-01,2.273,
2005-04,2.153,
2005-07,2.154,
2005-10,2.333,
2006-01,2.253,
2006-04,2.347,
2006-07,2.453,
2006-10,2.682,
2007-01,2.906,
2007-04,3.108,
2007-07,3.588,
2007-10,4.186,
2008-01,4.445,
2008-04,4.870,
2008-07,5.360,
2008-10,5.885,
2009-01,3.992,
2009-04,3.433,
2009-07,2.814,
2009-10,2.360,
2010-01,2.086,
2010-04,2.127,
2010-07,1.891,
2010-10,2.067,
2011-01,1.790,
2011-04,1.927,
2011-07,2.093,
2011-10,2.295,
2012-01,2.006,
2012-04,1.684,
2012-07,1.446,
2012-10,1.148,
2013-01,0.994,
2013-04,1.058,
2013-07,0.941,
2013-10,0.912,
2014-01,0.839,
2014-04,0.841,
2014-07,0.719,
