"",BBNZ1.Q.DE.N.G.0025.A,BBNZ1.Q.DE.N.G.0025.A_FLAGS
"",Germany / National accounts / Overall economy / National income,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:53,
1991-01,286.957,
1991-04,301.937,
1991-07,309.065,
1991-10,326.037,
1992-01,309.969,
1992-04,319.381,
1992-07,331.580,
1992-10,343.242,
1993-01,312.679,
1993-04,326.565,
1993-07,336.614,
1993-10,348.388,
1994-01,322.928,
1994-04,335.450,
1994-07,348.242,
1994-10,366.341,
1995-01,337.494,
1995-04,350.861,
1995-07,361.872,
1995-10,375.939,
1996-01,341.242,
1996-04,354.393,
1996-07,366.666,
1996-10,382.947,
1997-01,340.761,
1997-04,363.416,
1997-07,374.670,
1997-10,388.810,
1998-01,357.662,
1998-04,363.487,
1998-07,381.954,
1998-10,393.525,
1999-01,359.464,
1999-04,371.451,
1999-07,386.461,
1999-10,398.750,
2000-01,376.111,
2000-04,378.762,
2000-07,391.857,
2000-10,403.979,
2001-01,384.044,
2001-04,387.703,
2001-07,404.141,
2001-10,416.739,
2002-01,383.888,
2002-04,391.613,
2002-07,411.904,
2002-10,416.039,
2003-01,386.832,
2003-04,388.791,
2003-07,416.309,
2003-10,418.687,
2004-01,405.698,
2004-04,415.055,
2004-07,432.016,
2004-10,437.207,
2005-01,408.402,
2005-04,422.667,
2005-07,438.768,
2005-10,445.666,
2006-01,433.569,
2006-04,437.958,
2006-07,463.610,
2006-10,475.928,
2007-01,458.133,
2007-04,451.551,
2007-07,482.460,
2007-10,491.471,
2008-01,468.663,
2008-04,467.147,
2008-07,486.594,
2008-10,477.384,
2009-01,439.198,
2009-04,432.817,
2009-07,469.989,
2009-10,479.641,
2010-01,461.743,
2010-04,460.364,
2010-07,494.088,
2010-10,506.776,
2011-01,495.553,
2011-04,485.777,
2011-07,521.494,
2011-10,524.510,
2012-01,508.855,
2012-04,493.265,
2012-07,525.583,
2012-10,527.645,
2013-01,508.096,
2013-04,509.235,
2013-07,537.694,
2013-10,544.914,
2014-01,533.423,
2014-04,521.843,
2014-07,557.302,
2014-10,560.363,
