"",BBSF2.M.1.P.00000.GEF01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Number outstanding,
unit,STUECK (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:30,
2004-01,81700,
2004-02,81187,
2004-03,80516,
2004-04,79967,
2004-05,80309,
2004-06,79738,
2004-07,79231,
2004-08,78632,
2004-09,77827,
2004-10,77032,
2004-11,76362,
2004-12,75581,
2005-01,74596,
2005-02,73264,
2005-03,72189,
2005-04,72986,
2005-05,72702,
2005-06,72490,
2005-07,73679,
2005-08,76400,
2005-09,79774,
2005-10,82170,
2005-11,92585,
2005-12,95657,
2006-01,110681,
2006-02,117178,
2006-03,121596,
2006-04,124595,
2006-05,127534,
2006-06,128759,
2006-07,130773,
2006-08,131922,
2006-09,134578,
2006-10,136291,
2006-11,138532,
2006-12,138134,
2007-01,141759,
2007-02,166225,
2007-03,167197,
2007-04,168053,
2007-05,179871,
2007-06,181204,
2007-07,183879,
2007-08,187947,
2007-09,184547,
2007-10,191679,
2007-11,204476,
2007-12,214249,
2008-01,220254,
2008-02,233401,
2008-03,245182,
2008-04,256670,
2008-05,270635,
2008-06,280484,
2008-07,284348,
2008-08,286400,
2008-09,288668,
2008-10,283072,
2008-11,295551,
2008-12,308291,
2009-01,309018,
2009-02,313201,
2009-03,307629,
2009-04,311752,
2009-05,338980,
2009-06,338127,
2009-07,339783,
2009-08,340168,
2009-09,345863,
2009-10,345347,
2009-11,345999,
2009-12,347634,
2010-01,365425,
2010-02,371636,
2010-03,380987,
2010-04,386429,
2010-05,386850,
2010-06,388275,
2010-07,388899,
2010-08,388681,
2010-09,389839,
2010-10,390434,
2010-11,389408,
2010-12,388896,
2011-01,389192,
2011-02,395143,
2011-03,397388,
2011-04,401488,
2011-05,400417,
2011-06,398566,
2011-07,381551,
2011-08,374997,
2011-09,373507,
2011-10,373101,
2011-11,372545,
2011-12,371017,
2012-01,369992,
2012-02,375533,
2012-03,376332,
2012-04,382402,
2012-05,381998,
2012-06,377876,
2012-07,378819,
2012-08,374932,
2012-09,377203,
2012-10,382883,
2012-11,383245,
2012-12,386847,
2013-01,385882,
2013-02,392565,
2013-03,398879,
2013-04,398405,
2013-05,399809,
2013-06,384353,
2013-07,394981,
2013-08,393849,
2013-09,406237,
2013-10,403468,
2013-11,404213,
2013-12,397245,
2014-01,386251,
2014-02,390057,
2014-03,391332,
2014-04,393864,
2014-05,395237,
2014-06,398541,
2014-07,400835,
2014-08,366418,
2014-09,367196,
2014-10,368039,
2014-11,366552,
