"",BBK01.OELB19T,BBK01.OELB19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:36,
2002-01,0.110,
2002-04,0.112,
2002-07,0.112,
2002-10,0.106,
2003-01,0.101,
2003-04,0.097,
2003-07,0.098,
2003-10,0.096,
2004-01,0.094,
2004-04,0.092,
2004-07,0.091,
2004-10,0.091,
2005-01,0.091,
2005-04,0.088,
2005-07,0.086,
2005-10,0.083,
2006-01,0.078,
2006-04,0.076,
2006-07,0.071,
2006-10,0.062,
2007-01,0.059,
2007-04,0.056,
2007-07,0.055,
2007-10,0.052,
2008-01,0.050,
2008-04,0.049,
2008-07,0.051,
2008-10,0.051,
2009-01,0.051,
2009-04,0.054,
2009-07,0.055,
2009-10,0.056,
2010-01,0.057,
2010-04,0.058,
2010-07,0.058,
2010-10,0.057,
2011-01,0.057,
2011-04,0.057,
2011-07,0.060,
2011-10,0.062,
2012-01,0.062,
2012-04,0.061,
2012-07,0.061,
2012-10,0.057,
2013-01,0.056,
2013-04,0.056,
2013-07,0.056,
2013-10,0.054,
2014-01,0.054,
2014-04,0.053,
2014-07,0.054,
