"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Insurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:01,
2009-09,4195,
2009-10,3820,
2009-11,3802,
2009-12,3989,
2010-01,3800,
2010-02,3899,
2010-03,5071,
2010-04,4484,
2010-05,4382,
2010-06,4263,
2010-07,4384,
2010-08,3787,
2010-09,3667,
2010-10,3930,
2010-11,3651,
2010-12,3974,
2011-01,4360,
2011-02,4482,
2011-03,4243,
2011-04,4477,
2011-05,4135,
2011-06,4121,
2011-07,3868,
2011-08,3272,
2011-09,3188,
2011-10,3813,
2011-11,3523,
2011-12,3490,
2012-01,3805,
2012-02,4017,
2012-03,4050,
2012-04,4207,
2012-05,3547,
2012-06,3882,
2012-07,3927,
2012-08,4097,
2012-09,4179,
2012-10,4417,
2012-11,4523,
2012-12,4807,
2013-01,4989,
2013-02,5063,
2013-03,5214,
2013-04,5539,
2013-05,5644,
2013-06,5538,
2013-07,5896,
2013-08,5701,
2013-09,6011,
2013-10,6535,
2013-11,6685,
2013-12,6683,
2014-01,6354,
2014-02,6433,
2014-03,6394,
2014-04,6640,
2014-05,6674,
2014-06,5783,
2014-07,5653,
2014-08,5833,
2014-09,5932,
2014-10,5974,
2014-11,6361,
