"",BBEX3.M.ZMK.USD.CA.AB.A01,BBEX3.M.ZMK.USD.CA.AB.A01_FLAGS
2002-06,4516.12000,
2002-07,4526.28000,
2002-08,4516.12000,
2002-09,4593.34000,
2002-10,4710.99000,
2002-11,4831.08000,
2002-12,4368.80000,
2003-01,4612.64000,
2003-02,4847.84000,
2003-03,4912.36000,
2003-04,4876.80000,
2003-05,4856.48000,
2003-06,4866.64000,
2003-07,4681.00000,
2003-08,4701.00000,
2003-09,4833.33000,
2003-10,4799.29000,
2003-11,4767.14000,
2003-12,4803.57000,
2004-01,4792.86000,
2004-02,4758.57000,
2004-03,4745.71000,
2004-04,4769.29000,
2004-05,4807.14000,
2004-06,4836.43000,
2004-07,4795.00000,
2004-08,4830.71000,
2004-09,4930.00000,
2004-10,4842.86000,
2004-11,4769.29000,
2004-12,4801.43000,
2005-01,4781.88000,
2005-02,4770.00000,
2005-03,4702.50000,
2005-04,4718.75000,
2005-05,4750.00000,
2005-06,4711.25000,
2005-07,4628.75000,
2005-08,4374.38000,
2005-09,4533.75000,
2005-10,4331.11000,
2005-11,3531.11000,
2005-12,3540.56000,
2006-01,3455.56000,
2006-02,3344.44000,
2006-03,3330.00000,
2006-04,3114.44000,
2006-05,3412.78000,
2006-06,3608.33000,
2006-07,3728.89000,
2006-08,3925.00000,
2006-09,4162.78000,
2006-10,3852.78000,
2006-11,4050.00000,
2006-12,4421.11000,
2007-01,4296.11000,
2007-02,4250.00000,
2007-03,4260.56000,
2007-04,4186.67000,
2007-05,4008.33000,
2007-06,3793.33000,
2007-07,3915.56000,
2007-08,4066.67000,
2007-09,3876.11000,
2007-10,3806.67000,
2007-11,3764.44000,
2007-12,3856.11000,
2008-01,3843.33000,
2008-02,3767.78000,
2008-03,3703.33000,
2008-04,3483.33000,
2008-05,3452.22000,
2008-06,3205.56000,
2008-07,3528.00000,
2008-08,3513.89000,
2008-09,3588.33000,
2008-10,4782.31000,
2008-11,4503.57000,
2008-12,4876.79000,
2009-01,5144.64000,
2009-02,5631.79000,
2009-03,5599.05000,
2009-04,5641.55000,
2009-05,5175.88000,
2009-06,5176.90000,
2009-07,5058.57000,
2009-08,4694.11000,
2009-09,4733.44000,
2009-10,4660.63000,
2009-11,4687.96000,
2009-12,4650.57000,
2010-01,4595.94000,
2010-02,4754.46000,
2010-03,4714.17000,
2010-04,4751.82000,
2010-05,5011.88000,
2010-06,5165.62000,
2010-07,4885.40000,
2010-08,4943.75000,
2010-09,4855.73000,
2010-10,4670.21000,
2010-11,4941.88000,
2010-12,4806.11000,
2011-01,4851.56000,
2011-02,4771.56000,
2011-03,4734.59000,
2011-04,4710.94000,
2011-05,4771.35000,
2011-06,4851.67000,
2011-07,4805.52000,
2011-08,4972.19000,
2011-09,4821.77000,
2011-10,4917.40000,
2011-11,5106.95000,
2011-12,5127.04000,
2012-01,5143.15000,
2012-02,5258.61000,
2012-03,5283.24000,
2012-04,5239.44000,
2012-05,5354.35000,
2012-06,5164.54000,
2012-07,4972.37000,
2012-08,5012.04000,
2012-09,5103.45000,
2012-10,5285.92000,
2012-11,5231.02000,
2012-12,5156.61330,
"","General: Until 5 July 1983: pegged to the SDR. 6 July 1983 - 3 October 1985: pegged to a currency basket. 4 October 1985: introduction of an auction system to set the exchange rates. End of January 1987: foreign exchange auctions suspended. Start of February 1987: pegged to a currency basket.   28 March 1987: with the reintroduction of foreign exchange auctions in addition to the official exchange rate, a multiple exchange rate system was established: Official exchange rate: for the procurement of pharmaceuticals by the government as well as for receipts from public sector external borrowing and the servicing of this debt. Auction rate (see commentary on value for March and April 1987): for all other transactions.   On 1 May 1987, the termination of the foreign exchange auctions was announced and the kwacha was pegged to the US dollar on 4 May 1987. 9 November 1988: pegged to the SDR.   19 February 1990 - 22 April 1991: multiple exchange rate system. Official exchange rate: for proceeds from traditional exports (mostly copper), for payments for the import of petroleum and fertilisers and for other approved imports, as well as for certain capital inflows. Market rate (separate time series): for proceeds from the export of non-traditional goods, for imports on the ""general list of imports"" (especially chemical products), for foreign exchange proceeds from foreign travel and receipts for foreign embassies, as well as for non-public investment and transfer payments.  With effect from 1 January 2013, a currency conversion took place at the rate of 1,000 (old) kwacha = 1 (new) kwacha; the new ISO currency code is ZMW. The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Zambia, Lusaka; IWF",
"","Comment on 1978-03: On 17 March 1978, the kwacha was devalued by 10% against the SDR.",
"","Comment on 1983-01: On 7 January 1983, the kwacha was devalued by 20% against the SDR.",
"","Comment on 1983-07: From 6 July 1983, pegged to a currency basket.",
"","Comment on 1985-10: On  4 October 1985, the kwacha ceased to be pegged to the currency basket that had been used as a reference since 6 July 1983. Since then, the exchange rates have been set once a week in an auction process. We recorded the following exchange rates (buying/selling):  3 October 1985: ZMK 1 = USD 0.45660 / 0.44760  11 October 1985: ZMK 1 = USD 0.20060 / 0.19665 (first auction)  On the basis of these exchange rates, the kwacha depreciated by 56.1%.",
"","Comment on 1987-02: At the end of January 1987, the foreign exchange auctions introduced in October 1985 were suspended and the kwacha was pegged to a currency basket at the beginning of February 1987.",
"","Comment on 1987-03: On 28 March 1987, a multiple exchange rate system was introduced when foreign exchange auctions were resumed; the auction rates set in addition to the official exchange rates were: USD 1 = ZMK 14.925 / 15.225 (buying/selling).",
"",Comment on 1987-04: The auction rates set in addition to the official exchange rates were: USD 1 = ZMK 20.90495 / 21.32515 (buying/selling).,
"","Comment on 1987-05: On 1 May 1987, the termination of the foreign exchange auctions was announced and the kwacha was pegged to the US dollar on 4 May 1987.",
"","Comment on 1988-11: On 9 November 1988, the kwacha ceased to be pegged to the US dollar and was pegged to the SDR instead. We recorded the following middle rates:  8 November 1988: USD 1 = ZMK 8.000 9 November 1988: USD 1 = ZMK 9.99978  On the basis of these exchange rates, the kwacha depreciated by 20.0%.",
"","Comment on 1989-07: At the beginning of July 1989, the kwacha was devalued. We recorded the following exchange rates for 3 July 1989:  USD 1 = ZMK 15.92053 / 16.24054 (buying/selling)  On the basis of the exchange rates at the end of June and on 3 July 1989, the kwacha was devalued by 32.9%.",
"","Comment on 1990-02: On 19 February 1990, a multiple exchange rate system was established with the introduction of the market rate. See also additional series attributes.",
"",Comment on 1991-04: The multiple exchange rate system was unified on 23 April 1991.,
"","Comment on 1992-02: After the foreign exchange markets closed on 31 January 1992, a devaluation of the kwacha was announced. We recorded the following exchange rates for 3 February 1992:  USD 1 = ZMK 124.37500 / 126.87500 (buying/selling) On the basis of the exchange rates on 31 January and on 3 February 1992, the kwacha depreciated by 23.4%.",
"","Comment on 1992-12: On 7 December 1992, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling): before the adjustment: USD 1 = ZMK 241.28774 / 246.13774 after the adjustment: USD 1 = ZMK 316.05750 / 325.63500 On the basis of these exchange rates, the kwacha depreciated by 24.0% (middle rate).",
