"",BBK01.OEYJ04L,BBK01.OEYJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:50,
2002-01,0.557,
2002-04,0.790,
2002-07,0.995,
2002-10,1.127,
2003-01,1.404,
2003-04,1.911,
2003-07,1.804,
2003-10,2.519,
2004-01,2.236,
2004-04,1.826,
2004-07,1.884,
2004-10,2.157,
2005-01,2.276,
2005-04,3.464,
2005-07,3.601,
2005-10,1.826,
2006-01,2.037,
2006-04,2.006,
2006-07,2.452,
2006-10,1.526,
2007-01,2.194,
2007-04,3.095,
2007-07,3.878,
2007-10,5.389,
2008-01,5.854,
2008-04,6.322,
2008-07,7.348,
2008-10,8.194,
2009-01,8.239,
2009-04,6.217,
2009-07,5.216,
2009-10,5.498,
2010-01,6.303,
2010-04,7.555,
2010-07,7.178,
2010-10,7.281,
2011-01,7.433,
2011-04,8.009,
2011-07,8.793,
2011-10,7.136,
2012-01,6.847,
2012-04,5.510,
2012-07,4.695,
2012-10,3.630,
2013-01,3.358,
2013-04,3.640,
2013-07,2.610,
2013-10,2.667,
2014-01,3.735,
2014-04,2.885,
2014-07,2.125,
