"",BBK01.OELB08I,BBK01.OELB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:30,
2002-01,4.221,
2002-04,4.468,
2002-07,4.547,
2002-10,4.682,
2003-01,4.640,
2003-04,4.845,
2003-07,5.016,
2003-10,5.067,
2004-01,5.036,
2004-04,5.118,
2004-07,5.263,
2004-10,5.517,
2005-01,5.528,
2005-04,5.608,
2005-07,5.583,
2005-10,5.670,
2006-01,5.605,
2006-04,5.100,
2006-07,5.104,
2006-10,4.884,
2007-01,4.906,
2007-04,4.987,
2007-07,5.023,
2007-10,5.034,
2008-01,5.068,
2008-04,5.089,
2008-07,5.179,
2008-10,5.244,
2009-01,5.252,
2009-04,5.322,
2009-07,5.422,
2009-10,5.430,
2010-01,5.490,
2010-04,5.653,
2010-07,5.705,
2010-10,5.728,
2011-01,5.831,
2011-04,5.935,
2011-07,6.123,
2011-10,5.935,
2012-01,6.002,
2012-04,7.733,
2012-07,7.893,
2012-10,8.069,
2013-01,8.186,
2013-04,8.396,
2013-07,8.561,
2013-10,8.733,
2014-01,8.642,
2014-04,8.874,
2014-07,9.066,
