"",BBK01.OEYI04I,BBK01.OEYI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:54,
2002-01,1.335,
2002-04,1.504,
2002-07,1.801,
2002-10,2.013,
2003-01,2.172,
2003-04,1.783,
2003-07,1.585,
2003-10,2.163,
2004-01,2.466,
2004-04,2.138,
2004-07,2.656,
2004-10,2.031,
2005-01,2.150,
2005-04,2.348,
2005-07,2.787,
2005-10,2.363,
2006-01,2.780,
2006-04,2.674,
2006-07,2.637,
2006-10,2.937,
2007-01,2.726,
2007-04,2.529,
2007-07,5.320,
2007-10,4.731,
2008-01,5.963,
2008-04,9.126,
2008-07,10.048,
2008-10,7.301,
2009-01,10.635,
2009-04,11.314,
2009-07,9.984,
2009-10,10.909,
2010-01,12.816,
2010-04,8.168,
2010-07,14.677,
2010-10,14.500,
2011-01,13.815,
2011-04,16.312,
2011-07,18.104,
2011-10,14.931,
2012-01,16.594,
2012-04,15.641,
2012-07,16.449,
2012-10,15.666,
2013-01,19.121,
2013-04,17.504,
2013-07,10.092,
2013-10,9.284,
2014-01,9.785,
2014-04,10.268,
2014-07,10.936,
