"",BBK01.OELK01G,BBK01.OELK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:09,
2002-01,4.537,
2002-04,4.458,
2002-07,4.464,
2002-10,4.544,
2003-01,4.508,
2003-04,4.486,
2003-07,4.486,
2003-10,4.565,
2004-01,4.513,
2004-04,4.525,
2004-07,4.606,
2004-10,4.491,
2005-01,4.468,
2005-04,4.507,
2005-07,4.681,
2005-10,4.787,
2006-01,4.750,
2006-04,4.830,
2006-07,4.868,
2006-10,5.049,
2007-01,5.051,
2007-04,5.011,
2007-07,5.232,
2007-10,5.607,
2008-01,5.515,
2008-04,5.673,
2008-07,5.731,
2008-10,6.331,
2009-01,6.067,
2009-04,5.965,
2009-07,6.005,
2009-10,6.160,
2010-01,6.047,
2010-04,6.076,
2010-07,6.238,
2010-10,6.538,
2011-01,6.355,
2011-04,6.388,
2011-07,6.663,
2011-10,6.993,
2012-01,6.924,
2012-04,6.983,
2012-07,7.268,
2012-10,7.452,
2013-01,7.326,
2013-04,7.326,
2013-07,7.597,
2013-10,7.873,
2014-01,7.661,
2014-04,7.724,
2014-07,7.935,
