"",BBK01.OEBK03I,BBK01.OEBK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:03,
2002-01,1.065,
2002-04,1.015,
2002-07,0.949,
2002-10,0.901,
2003-01,0.878,
2003-04,0.798,
2003-07,0.664,
2003-10,0.634,
2004-01,0.609,
2004-04,0.584,
2004-07,0.550,
2004-10,0.618,
2005-01,0.595,
2005-04,0.610,
2005-07,0.592,
2005-10,0.767,
2006-01,0.793,
2006-04,0.810,
2006-07,0.883,
2006-10,1.165,
2007-01,1.176,
2007-04,1.337,
2007-07,1.370,
2007-10,1.470,
2008-01,1.512,
2008-04,1.475,
2008-07,1.544,
2008-10,1.427,
2009-01,0.879,
2009-04,0.661,
2009-07,0.508,
2009-10,0.410,
2010-01,0.370,
2010-04,0.329,
2010-07,0.275,
2010-10,0.389,
2011-01,0.449,
2011-04,0.501,
2011-07,0.549,
2011-10,0.532,
2012-01,0.663,
2012-04,0.636,
2012-07,0.640,
2012-10,0.526,
2013-01,0.509,
2013-04,0.468,
2013-07,0.447,
2013-10,0.442,
2014-01,0.430,
2014-04,0.435,
2014-07,0.434,
